doc_id,topic,model,data,loss,gradient,tensor,training,vector,matrix,recipe,oven,flour,sauce,simmer,knife,dough,flavour,orbit,telescope,galaxy,spectrum,comet,nebula,parsec,eclipse,striker,offside,penalty,midfield,keeper,stadium,kickoff,referee,the,of,and,a,to,in,is,for
d00000,machine_learning,11,5,6,7,5,8,4,8,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,9,12,8,15,10,14,14,7
d00001,astronomy,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,7,6,7,4,5,7,12,1,0,1,1,0,0,1,0,13,9,12,14,14,11,9,6
d00002,football,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4,9,5,10,7,7,7,6,18,16,16,14,10,12,8,18
d00003,machine_learning,50,49,26,29,36,54,41,48,4,4,2,0,1,1,2,1,0,1,2,2,2,2,3,0,3,1,1,1,3,1,3,2,77,84,75,76,71,62,67,71
d00004,machine_learning,41,39,46,57,49,53,49,44,4,2,0,1,2,3,2,2,2,1,1,2,3,1,2,1,3,3,2,3,1,1,3,3,67,75,87,59,62,62,73,66
d00005,football,0,0,1,2,0,1,0,1,0,0,3,1,0,0,0,0,2,0,0,0,1,0,1,2,8,10,8,15,15,11,8,10,16,15,22,18,12,20,17,13
d00006,astronomy,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,8,18,11,9,12,8,15,6,0,1,0,0,0,1,0,1,17,13,18,22,19,15,17,18
d00007,machine_learning,8,10,4,4,5,8,4,5,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,3,0,2,0,1,0,21,19,19,15,9,12,13,19
d00008,machine_learning,57,55,51,65,54,51,62,59,1,3,1,4,1,5,3,3,1,4,3,2,3,2,5,1,1,1,2,2,3,2,2,3,100,107,85,118,110,90,100,96
d00009,cooking,2,2,3,3,4,2,2,4,40,43,51,46,45,42,44,48,0,2,1,1,1,0,0,2,3,2,2,2,1,3,2,3,79,69,73,73,67,77,82,83
d00010,astronomy,1,1,2,1,1,3,1,0,0,1,2,1,3,0,4,4,30,24,23,14,31,28,26,16,0,3,2,1,0,1,0,0,29,32,19,27,41,37,34,38
d00011,machine_learning,1,10,9,7,11,4,5,9,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,14,9,5,10,8,10,10,13
d00012,machine_learning,30,17,22,23,23,27,16,19,1,1,1,3,2,2,0,1,1,2,1,2,1,1,1,1,3,1,2,0,2,1,0,1,38,43,50,43,35,29,44,30
d00013,machine_learning,196,180,204,183,211,179,172,188,9,6,7,3,6,7,9,13,10,6,11,5,13,13,6,6,6,10,9,12,6,10,9,6,300,314,314,294,313,296,323,296
d00014,football,0,0,0,0,0,0,1,2,1,0,1,2,0,0,2,0,0,0,1,0,3,1,1,0,6,11,7,12,6,13,8,14,16,17,16,28,12,20,17,16
d00015,machine_learning,22,33,36,36,26,27,31,31,0,2,0,1,0,1,2,1,1,2,1,0,2,1,1,1,1,0,1,0,3,2,3,1,41,46,49,60,47,37,42,38
d00016,machine_learning,46,38,37,41,46,41,35,55,1,1,2,1,0,3,5,3,1,3,2,2,2,1,2,2,3,2,2,4,5,3,0,1,54,57,62,60,47,61,46,61
d00017,football,0,4,0,0,0,1,1,1,1,1,1,2,2,0,4,1,1,0,2,1,3,3,2,0,17,38,27,21,29,20,38,29,51,47,62,68,46,56,54,56
d00018,astronomy,2,2,3,5,4,4,5,2,5,1,1,1,3,3,2,2,55,66,50,38,66,71,63,61,2,3,6,3,5,1,6,4,115,112,117,114,97,93,96,118
d00019,astronomy,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15,7,7,12,10,7,9,16,0,0,3,1,0,4,0,0,23,20,14,29,19,22,15,16
d00020,machine_learning,2,6,3,5,5,7,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,2,5,5,5,6,6
d00021,cooking,3,3,5,5,7,2,4,5,71,61,65,63,55,52,81,62,3,5,8,7,3,1,2,5,3,1,5,2,3,5,3,5,117,106,114,121,97,102,106,114
d00022,astronomy,0,1,1,0,1,0,0,1,2,1,0,0,1,1,1,1,12,12,8,13,16,2,11,11,0,0,1,0,2,0,0,1,20,19,15,21,25,14,16,23
d00023,astronomy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,4,10,6,6,9,3,9,0,0,2,0,0,0,1,0,22,16,18,17,14,13,8,20
d00024,cooking,0,0,0,1,0,0,0,0,5,6,9,5,4,2,8,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,12,15,12,10,8,10,5
d00025,astronomy,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,3,4,4,4,4,5,3,0,0,0,0,0,0,0,0,8,6,1,5,13,4,3,6
d00026,astronomy,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,5,3,8,4,7,8,9,4,0,1,1,0,2,0,1,0,9,9,6,10,13,14,14,13
