user_id,variant,device,day,converted
15510,treatment,mobile,9,0
21907,treatment,mobile,8,0
756,control,mobile,2,0
18381,treatment,mobile,1,0
22078,treatment,mobile,7,0
20938,treatment,mobile,14,0
6146,control,mobile,6,0
12782,treatment,mobile,9,0
3797,control,desktop,5,0
6560,control,mobile,7,0
285,control,desktop,8,0
23369,treatment,desktop,1,0
13460,treatment,desktop,4,0
12428,treatment,desktop,3,0
21215,treatment,mobile,11,0
21495,treatment,desktop,11,0
6250,control,mobile,3,0
12370,treatment,desktop,8,1
17847,treatment,mobile,14,0
17321,treatment,desktop,8,0
16878,treatment,desktop,8,0
9540,control,desktop,6,0
8779,control,mobile,14,1
9361,control,mobile,8,0
9425,control,mobile,6,0
4263,control,desktop,5,0
7541,control,desktop,11,0
2388,control,mobile,6,0
23743,treatment,mobile,8,0
22735,treatment,mobile,4,0
14650,treatment,mobile,8,0
7719,control,mobile,13,0
10784,control,mobile,13,0
8743,control,desktop,10,0
14255,treatment,mobile,7,0
9120,control,mobile,5,0
19837,treatment,mobile,14,0
13464,treatment,mobile,10,0
13577,treatment,desktop,10,0
23293,treatment,desktop,4,0
14746,treatment,mobile,1,0
14524,treatment,desktop,14,0
5715,control,mobile,7,0
37,control,mobile,7,0
5359,control,mobile,10,0
13526,treatment,mobile,4,0
16143,treatment,mobile,8,0
841,control,desktop,14,0
574,control,desktop,6,0
16224,treatment,mobile,8,1
4952,control,mobile,9,0
8778,control,mobile,12,0
23972,treatment,desktop,10,0
23267,treatment,mobile,9,0
11331,control,mobile,6,0
16232,treatment,mobile,10,0
13046,treatment,mobile,8,0
7772,control,mobile,13,0
23627,treatment,mobile,7,0
9519,control,mobile,2,0
4818,control,desktop,2,0
19013,treatment,mobile,12,0
22258,treatment,mobile,5,0
10049,control,mobile,7,0
12646,treatment,mobile,3,0
9994,control,desktop,4,0
2180,control,desktop,11,0
16406,treatment,desktop,3,0
7654,control,desktop,2,0
1827,control,desktop,4,0
5057,control,desktop,3,0
2438,control,mobile,11,0
20163,treatment,mobile,10,0
12420,treatment,mobile,13,0
5630,control,mobile,14,0
652,control,mobile,2,0
8816,control,desktop,5,0
11501,control,mobile,11,0
3518,control,mobile,9,0
5395,control,desktop,1,0
20542,treatment,mobile,1,0
12343,treatment,mobile,8,0
1745,control,mobile,10,0
14591,treatment,desktop,13,0
21902,treatment,desktop,2,0
22932,treatment,mobile,11,0
14809,treatment,desktop,10,0
4085,control,mobile,1,0
20053,treatment,mobile,5,0
6035,control,desktop,7,0
541,control,desktop,10,0
7492,control,mobile,3,0
21513,treatment,desktop,1,1
564,control,mobile,10,0
13754,treatment,mobile,4,0
