reading_id,hours_since_service,load_pct,vibration_mm_s,coolant_c,failed
1,576.2,50.65,2.001,43.1,0
2,356.4,36.86,2.312,39.39,0
3,408.2,53.86,2.394,35.8,0
4,198.7,82.13,0.897,26.82,0
5,934.3,58.0,4.569,48.71,0
6,701.2,75.45,2.243,47.62,0
7,287.0,55.19,1.516,35.7,0
8,226.1,70.19,4.968,43.16,0
9,706.8,54.8,1.663,40.41,0
10,511.9,55.87,1.804,36.5,0
11,458.3,47.38,10.818,40.04,0
12,687.8,64.05,0.977,32.16,1
13,276.8,70.24,2.035,32.64,1
14,632.0,19.73,1.759,34.95,0
15,1292.4,42.84,3.199,27.83,1
16,467.4,74.02,4.259,28.16,1
17,116.0,48.06,3.235,41.05,0
18,451.2,46.23,0.763,34.79,0
19,487.3,62.07,2.421,46.42,0
20,203.6,63.29,2.27,35.92,0
21,279.2,77.5,0.985,41.23,0
22,651.0,62.82,2.358,42.73,0
23,161.0,70.41,2.009,28.32,1
24,854.7,43.15,1.231,33.64,0
25,611.9,65.13,2.749,42.77,0
26,248.1,62.38,0.852,39.83,0
27,469.8,57.27,2.206,25.8,1
28,359.0,9.37,2.092,44.91,0
29,676.2,72.69,1.995,40.85,1
30,182.9,48.77,1.628,30.15,0
31,299.1,70.15,1.12,40.64,0
32,369.4,71.19,1.719,38.96,0
33,673.4,17.06,1.33,47.96,0
34,212.9,26.27,5.431,29.37,0
35,55.8,74.0,1.694,36.41,0
36,352.3,63.54,1.719,36.25,0
37,97.6,21.69,2.118,43.2,0
38,614.7,81.05,1.018,38.63,0
39,96.1,73.37,3.401,32.86,0
40,119.0,41.94,1.459,38.35,0
41,251.4,55.89,2.952,34.32,0
42,139.9,31.13,2.703,29.24,0
43,209.5,41.56,1.846,29.18,0
44,512.3,50.21,2.445,44.62,0
45,932.6,76.25,3.61,41.78,1
46,335.3,44.69,1.402,35.35,0
47,341.8,45.19,2.018,37.01,0
48,865.4,29.41,1.657,34.14,0
49,449.4,79.75,4.787,49.83,1
50,1022.4,76.6,1.088,37.53,1
51,95.6,57.62,4.103,32.3,0
52,134.9,79.26,1.522,47.38,0
53,1700.8,64.88,1.631,41.54,0
54,275.0,40.11,1.286,37.94,0
55,416.3,76.09,3.156,34.92,0
56,221.8,80.44,2.375,51.73,0
57,431.3,27.45,3.377,26.34,0
58,454.4,21.65,1.913,44.14,0
59,84.9,68.34,0.918,33.01,0
60,232.9,49.18,0.992,24.46,0
61,549.8,77.25,1.705,40.72,0
62,505.6,65.15,4.594,31.68,0
63,424.4,73.47,3.107,29.63,1
64,212.4,84.45,5.521,31.15,1
65,398.7,47.48,2.792,38.17,1
66,418.5,86.51,1.304,35.98,1
67,202.1,23.87,3.228,33.32,1
68,296.1,68.37,1.14,43.62,0
69,662.3,57.59,1.811,44.07,0
70,502.2,19.72,2.655,46.02,0
71,481.3,64.6,0.88,36.23,0
72,799.9,96.51,1.218,47.35,0
73,995.1,50.77,2.895,40.36,0
74,436.4,24.03,1.081,32.26,0
75,469.4,56.7,4.449,36.38,0
76,516.1,78.63,1.111,34.67,0
77,744.2,33.02,4.341,39.57,0
78,416.3,54.64,1.642,40.0,0
79,125.3,80.32,2.649,25.78,0
80,481.9,57.92,0.82,43.83,0
81,328.8,43.71,4.705,33.68,1
82,317.2,74.7,3.589,47.99,0
83,555.6,69.78,1.73,47.9,0
84,35.2,61.77,2.945,27.55,0
85,249.6,30.57,1.51,36.68,0
86,309.4,61.84,1.309,42.37,0
87,600.8,79.73,1.423,27.63,1
88,551.7,18.76,2.431,38.21,0
89,136.1,15.23,0.619,48.3,0
90,446.0,70.93,1.266,44.86,0
91,429.8,27.18,3.795,39.9,0
92,730.2,58.98,1.786,40.04,0
93,1651.0,32.94,2.339,51.07,0
94,177.5,49.04,6.792,39.55,0
95,323.3,66.8,2.588,43.47,0
96,662.3,15.97,2.192,58.65,0
97,431.7,57.73,1.038,47.32,0
98,771.1,75.23,2.578,38.69,0
99,142.4,77.02,1.575,46.72,0
100,533.6,16.33,1.151,48.37,0
101,288.8,34.53,3.321,32.6,0
102,109.3,31.49,2.207,36.13,0
103,232.0,43.34,4.035,40.4,0
104,400.7,45.01,2.32,38.14,0
105,354.5,41.22,1.797,31.1,1
106,414.4,51.16,1.946,30.76,0
107,309.7,12.33,2.198,43.02,0
108,87.0,25.44,1.78,41.31,0
109,328.3,27.94,2.767,36.86,0
110,213.1,43.47,1.282,27.12,0
111,643.6,71.98,1.704,33.03,1
112,309.1,18.74,1.606,46.93,1
113,74.3,70.1,3.634,42.4,0
114,473.6,79.92,5.59,38.32,0
115,263.9,26.92,2.257,30.5,0
116,268.7,36.29,0.817,40.66,0
117,202.6,85.82,2.402,33.67,1
118,245.1,63.46,1.92,45.47,0
119,449.4,66.13,3.19,41.71,1
120,276.5,30.05,3.265,37.45,0
121,319.7,46.97,1.736,41.98,0
122,731.0,23.89,4.721,41.39,0
123,934.1,17.37,1.391,31.27,0
124,132.6,89.76,0.713,47.69,0
125,96.6,80.56,0.759,39.92,0
126,416.1,67.35,2.434,43.94,0
127,103.7,78.59,2.219,35.06,0
128,456.4,73.15,2.809,42.59,0
129,218.9,85.48,3.09,42.4,0
130,444.2,77.44,4.878,36.1,1
131,529.8,45.3,2.845,43.84,1
132,954.1,76.29,1.35,49.76,0
133,311.4,78.49,1.71,37.62,0
