area_k_sqft,area_sqft,bedrooms,bathrooms,age_years,lot_sqft,price_usd
2.8296,2829.6,4,2,35.07,8210.5,886156.09
2.2171,2217.1,4,2,21.79,6244.9,814308.52
2.3685,2368.5,5,2,21.18,7705.3,863471.49
1.7116,1711.6,3,1,14.4,4989.2,613482.01
3.7184,3718.4,5,3,32.44,10114.4,1130271.3
3.1513,3151.3,5,2,47.96,7447.4,963898.49
2.0045,2004.5,3,2,28.47,6410.0,614864.65
1.806,1806.0,2,1,28.1,7546.2,537223.44
3.1655,3165.5,4,3,47.04,7016.6,992532.55
2.6577,2657.7,4,2,30.8,3795.6,852870.88
2.5103,2510.3,4,2,18.18,8241.0,842642.46
3.1175,3117.5,5,3,13.71,9234.6,1058561.1
1.9722,1972.2,4,3,4.26,7311.3,753650.0
2.9752,2975.2,5,3,22.16,5301.2,1040338.95
4.5335,4533.5,7,4,31.64,15057.1,1496568.92
2.5356,2535.6,4,2,51.28,6521.0,808998.31
1.3983,1398.3,2,1,38.31,3504.3,484580.41
2.4905,2490.5,4,3,28.19,7908.0,852760.74
2.5906,2590.6,4,2,25.1,6396.4,832099.33
1.7286,1728.6,3,2,32.46,3932.1,638369.81
0.9369,936.9,1,1,16.96,2750.2,350981.79
1.9798,1979.8,3,2,15.91,6584.7,631915.64
3.024,3024.0,5,3,32.92,11971.3,1029742.52
1.5752,1575.2,2,2,9.56,2525.8,519083.53
3.5288,3528.8,6,3,8.81,7977.1,1193955.22
2.923,2923.0,4,2,46.49,10084.1,937598.36
1.8794,1879.4,3,1,14.07,5007.4,639176.05
2.5423,2542.3,4,3,69.18,10224.1,811857.26
2.2248,2224.8,3,2,40.57,5441.1,731791.2
3.0881,3088.1,4,2,5.13,8534.4,971849.06
1.6552,1655.2,3,1,13.75,6218.2,622555.27
2.0426,2042.6,3,2,46.14,4253.9,635909.12
2.2557,2255.7,4,2,48.83,5648.5,740400.15
3.0811,3081.1,5,3,27.63,10301.9,1027410.61
1.761,1761.0,3,2,24.17,5537.4,636454.64
1.1184,1118.4,2,1,63.01,4036.8,325832.37
