request_id,tier,prompt_tokens,output_tokens,queue_depth,gpu_util,latency_ms,cache_hit,screen_dpi,log_resid,resid_energy
1,free,383,175,5,55.275,1141.646,0,158.15,2.7373,7.4928
2,free,162,350,3,69.869,163.051,0,239.97,-1.0027,1.0054
3,pro,239,29,3,65.275,70.979,0,68.63,-1.1776,1.3867
4,free,467,70,6,70.899,291.968,0,170.82,0.4829,0.2332
5,free,148,76,1,37.128,424.088,0,95.15,1.8776,3.5254
6,free,113,15,0,6.225,15.085,0,270.72,-2.1756,4.7332
7,free,115,109,7,78.648,137.677,0,210.64,-1.0752,1.1561
8,free,179,77,4,37.8,82.479,0,267.06,-0.7843,0.6151
9,pro,345,94,3,79.789,254.157,0,208.91,0.4181,0.1748
10,pro,157,54,7,76.279,106.963,0,226.4,-0.963,0.9274
11,free,82,81,0,46.441,160.383,0,205.85,0.0601,0.0036
12,free,165,190,6,60.668,280.346,0,173.94,0.3121,0.0974
13,free,214,211,1,61.013,246.322,0,185.89,0.0578,0.0033
14,free,65,36,9,78.222,223.175,0,199.94,0.1073,0.0115
15,pro,382,138,3,68.787,473.158,0,198.64,1.8241,3.3273
16,free,270,103,4,53.105,141.637,0,180.64,-0.3879,0.1505
17,enterprise,183,114,2,33.594,57.085,0,143.5,-0.6835,0.4672
18,pro,167,20,4,55.585,147.625,0,222.89,0.7428,0.5518
19,free,511,113,5,86.186,217.017,0,216.55,-0.5375,0.2889
20,free,169,51,3,83.282,79.298,0,175.42,-1.8083,3.2699
21,pro,253,106,1,34.267,207.281,0,174.86,1.3311,1.7718
22,pro,213,39,1,15.463,126.82,0,233.19,1.3558,1.8382
23,enterprise,125,32,1,42.329,91.567,0,291.16,0.9488,0.9002
24,free,815,114,3,40.049,168.026,0,247.39,0.1694,0.0287
25,pro,240,35,3,66.452,130.939,0,229.46,-0.0712,0.0051
26,pro,277,58,4,44.14,169.803,0,274.08,0.8996,0.8093
27,free,128,60,5,58.03,671.285,0,216.39,2.1936,4.8119
28,pro,74,25,2,31.061,32.971,0,336.16,-1.6135,2.6034
