area_sqft,bedrooms,age_years,lot_sqft,price_k
2319.9,4,56.9,4800.0,476.51
1718.1,4,9.0,4181.2,434.93
1862.0,3,20.1,9466.7,564.2
3042.0,4,14.0,17476.8,889.91
1984.0,3,17.8,8640.0,534.21
3020.4,4,13.2,10028.6,734.81
1395.7,2,7.6,4549.4,369.97
2603.8,4,23.7,9923.7,683.55
2860.8,5,39.6,11811.8,762.45
2101.5,3,11.0,8336.2,592.87
2529.1,4,12.4,7866.7,612.87
3453.3,6,13.6,14703.5,919.53
1678.4,3,38.1,10522.7,497.61
2325.0,4,6.8,10495.2,648.63
1491.2,2,21.9,2971.4,316.96
926.2,3,46.7,3596.1,256.67
2537.9,4,14.2,11154.2,693.19
2082.7,3,22.0,4574.8,474.03
2200.2,3,14.1,9818.9,610.36
1638.4,3,18.4,5803.7,432.11
2092.5,4,40.2,13108.5,651.41
1028.9,2,10.4,4382.1,292.64
2508.0,3,38.1,15953.3,770.61
2554.6,4,33.8,9900.5,657.46
1649.1,3,9.3,10685.3,515.14
983.1,2,26.4,4128.3,278.34
2416.7,4,52.0,11393.6,659.08
3115.7,4,54.1,10760.9,718.95
3275.9,4,42.7,7628.1,679.09
2568.8,4,20.9,8667.1,612.24
2111.4,4,7.7,10312.2,589.28
1913.7,2,17.5,5716.6,462.93
1039.5,2,20.0,6208.1,333.86
1988.9,3,19.4,12693.0,597.49
2077.7,4,9.0,6492.7,514.31
930.0,3,22.5,1753.3,216.61
2151.8,4,71.7,8009.8,543.3
1986.2,3,13.9,10184.9,590.56
1413.2,2,15.7,7505.9,422.01
1401.9,3,15.4,5970.4,365.18
600.0,2,36.4,2811.9,175.65
1644.6,3,27.5,7496.0,445.49
1656.0,2,18.8,5099.7,400.33
1435.9,2,12.0,8203.2,416.73
2448.4,4,15.1,12282.5,718.28
600.0,2,10.2,2840.6,215.06
2754.5,5,10.7,17494.7,889.77
2248.6,3,30.1,12653.0,645.44
2382.4,3,42.8,12774.4,681.68
2010.7,4,23.8,4846.6,459.04
1562.4,3,22.6,5427.2,402.79
1949.4,4,23.7,4987.8,445.14
2116.3,4,34.1,10762.2,597.57
1678.0,4,14.8,7334.2,477.0
1868.4,2,20.4,5043.6,419.8
1551.9,3,19.1,6765.8,426.44
2489.4,4,4.0,11967.5,699.98
600.0,3,19.6,2412.4,180.15
1336.4,2,19.3,6622.0,380.81
2102.9,4,11.4,7492.3,535.75
1712.5,2,6.1,6127.8,453.59
2018.5,3,29.7,4005.3,454.71
1893.8,3,36.1,11850.7,551.15
2074.9,3,31.5,6801.5,508.62
2484.9,3,58.1,10780.1,608.76
1297.7,3,16.8,7372.4,430.92
1446.2,3,49.7,7905.8,413.11
1355.2,3,28.9,6893.0,394.29
647.0,1,38.5,3660.5,214.84
1259.1,3,5.5,4596.0,356.87
1852.0,3,9.9,8662.8,546.1
1703.4,3,17.5,8703.1,510.32
938.0,2,18.9,3390.2,266.52
2179.5,4,14.7,7002.3,534.16
2387.2,3,24.5,5078.1,482.06
1857.1,4,51.1,6166.5,455.2
928.9,1,24.3,4735.1,243.37
2515.4,4,90.0,9924.7,576.74
1054.6,2,24.3,4974.8,294.57
2018.8,3,11.5,13117.6,672.15
1572.7,2,1.8,6556.6,431.51
1601.0,3,5.8,9726.3,497.67
1156.0,2,25.0,6126.7,372.88
1540.0,3,36.1,8389.5,456.6
1434.1,2,61.5,6601.1,371.56
1892.7,3,35.8,7278.9,481.83
2201.0,2,18.1,5449.2,487.98
1916.9,3,8.5,11606.5,608.84
2858.5,4,12.4,13506.2,798.85
1364.3,2,3.1,8210.2,438.53
1809.0,2,26.9,10336.4,502.34
1907.4,3,40.4,3581.6,391.12
1825.5,3,8.6,8977.8,555.25
2122.9,4,15.6,11947.4,656.02
2769.1,5,9.0,12173.9,778.89
2098.1,4,29.0,11047.2,607.69
2073.9,3,4.5,11964.7,600.55
1284.4,3,19.2,5351.9,336.28
2971.6,4,60.7,8826.4,667.09
1936.3,3,21.8,3555.2,410.19
926.2,2,11.1,3281.8,255.64
1989.4,4,32.3,4559.8,451.04
1132.8,2,11.1,7227.2,389.3
811.9,1,5.3,3923.9,277.73
3664.0,5,38.1,19399.2,1049.57
1996.4,3,12.8,8482.4,519.24
1644.0,3,20.2,7987.5,469.91
1997.1,3,10.8,11796.2,608.24
2002.1,2,5.6,5173.6,465.17
1022.9,2,8.8,6420.6,361.46
1476.6,2,24.6,7936.5,441.36
1565.1,3,12.5,9439.6,473.25
2035.2,2,12.3,8667.5,531.96
2345.3,3,48.7,4759.7,475.15
2084.4,3,42.0,5679.8,496.75
2921.2,5,19.2,10451.5,724.72
859.9,2,26.7,4073.5,259.97
1289.3,2,31.8,3777.1,307.84
1513.5,2,5.0,5665.8,408.55
1914.3,3,12.5,4337.0,465.63
2271.9,4,27.6,10726.9,647.61
1409.4,4,1.9,8749.8,468.46
2188.1,4,5.1,13332.8,667.39
600.0,1,7.0,1500.0,186.72
2020.0,4,6.6,4218.9,457.67
1959.6,4,15.2,8178.2,531.85
1444.3,2,69.6,6565.5,374.43
1788.7,2,20.8,5154.5,432.04
1962.6,4,8.0,9793.3,577.44
2985.8,4,51.7,16517.0,809.38
2007.0,3,20.0,10349.0,573.98
2428.3,3,27.5,5476.5,528.85
1408.0,3,10.0,6353.8,394.24
1669.8,3,26.8,5253.8,400.12
1704.2,3,18.9,9486.0,498.37
1024.7,2,7.5,3876.9,334.42
2466.9,5,27.3,5003.4,560.48
1457.8,2,33.6,3465.1,337.19
2181.3,3,18.8,6953.2,535.08
2341.8,4,3.2,4437.4,538.76
2139.8,4,27.9,5694.1,536.35
900.5,3,59.9,5474.4,259.54
3265.9,4,13.9,20000.0,990.35
1726.5,2,14.4,4046.1,406.86
2677.3,4,15.3,6137.1,591.91
2117.5,2,42.4,10793.0,590.97
2938.0,5,9.3,7357.7,676.65
2707.7,4,5.5,8376.6,654.67
600.0,1,3.2,2894.4,205.91
1878.9,3,6.8,4685.4,455.39
2046.2,4,24.1,8208.9,558.72
2293.2,3,37.6,10557.5,636.63
2115.6,3,51.5,3810.6,437.59
2239.9,4,15.1,8135.9,601.89
2208.4,3,11.7,8141.6,582.61
1378.7,3,7.8,6132.5,408.25
2595.3,4,27.1,14003.9,776.98
2405.0,3,24.6,5401.6,517.02
2002.1,4,10.1,5084.1,465.52
2525.1,4,23.0,15863.2,787.62
1086.7,2,2.5,6303.1,349.5
2457.3,4,4.1,8908.0,641.65
2141.0,3,8.8,4294.8,470.17
1695.5,3,26.5,8415.1,497.68
1792.2,3,19.1,10254.9,548.34
1114.0,2,7.2,4909.7,344.47
1761.8,3,32.0,4521.1,396.63
1102.5,2,31.5,2811.9,264.75
2282.6,4,10.1,14642.0,754.72
1566.5,3,49.5,6974.5,408.55
600.0,1,25.2,2727.0,207.21
2444.8,3,52.0,12785.4,672.1
1567.1,3,13.3,8983.2,491.31
3160.7,4,10.9,13356.2,818.37
1740.6,3,13.3,7739.8,481.27
2901.0,5,11.9,13812.0,808.48
2363.2,4,9.0,7747.9,610.71
2567.4,4,27.7,14205.0,756.76
2275.4,3,24.7,13936.7,698.31
2549.8,3,32.8,16552.2,769.48
1138.5,3,35.7,7175.7,387.58
1970.9,2,8.5,9298.5,557.49
2066.6,4,58.1,7148.8,492.28
2388.3,4,31.9,7176.7,581.83
2031.9,3,27.3,11532.1,598.51
2499.4,3,5.8,10089.8,674.86
2574.0,4,7.7,15618.6,815.31
1839.7,2,49.4,7770.4,451.26
3620.4,6,28.4,11577.3,896.65
1742.2,3,10.1,7139.1,486.14
1315.7,2,23.8,3190.3,331.79
2576.2,4,10.6,7148.1,620.5
1777.8,2,31.8,4996.4,405.09
2760.9,4,87.2,17389.9,799.2
2466.8,4,2.0,11114.6,680.07
2609.2,4,15.7,14101.4,753.89
2036.0,3,28.7,8291.4,530.29
2864.7,5,20.0,6598.8,620.09
2635.4,4,24.5,5096.4,563.98
1518.4,3,24.5,9471.0,465.66
1167.4,3,7.5,5704.9,381.22
1708.7,3,8.7,8468.0,485.99
2241.7,2,16.0,7524.6,527.75
2489.7,3,5.8,5419.2,580.81
