label,logit,score
0,-0.651805,0.342583
1,0.874586,0.705699
0,-1.894459,0.130737
1,-0.994796,0.269966
1,3.157257,0.959194
1,1.607409,0.833051
1,1.491057,0.816237
1,2.552875,0.927766
0,0.477834,0.617236
0,0.131421,0.532808
0,-2.592597,0.069616
0,1.721026,0.848261
0,-3.480043,0.029885
0,-1.625901,0.164393
0,-1.449553,0.19007
0,-3.791252,0.022069
0,-0.60213,0.353856
0,-1.030962,0.262898
0,-1.064971,0.256361
0,-0.477006,0.382959
0,0.797918,0.689529
0,-3.151301,0.04104
0,-1.679964,0.1571
0,0.181386,0.545222
0,-0.952512,0.27838
0,0.544083,0.632762
0,-0.57463,0.360169
0,-1.959134,0.123561
0,-0.404305,0.400278
0,-0.762284,0.318151
0,-0.125585,0.468645
0,-2.190184,0.100635
1,2.302383,0.909074
0,-0.504457,0.376494
0,0.594966,0.644504
0,-1.722023,0.151611
0,0.390284,0.596351
0,-0.519824,0.372893
0,-1.278989,0.217722
0,-1.123806,0.245306
0,-1.15559,0.239469
0,0.912417,0.713495
0,0.102441,0.525588
1,4.690528,0.990902
0,-1.67671,0.157532
1,2.519219,0.925478
0,1.726321,0.848941
0,0.605095,0.646821
0,-2.405062,0.082788
0,-0.759996,0.318647
0,-1.191754,0.232945
1,1.472465,0.813432
0,0.123432,0.530819
0,0.139468,0.53481
0,0.154672,0.538591
1,3.584418,0.972997
1,1.158442,0.76105
0,-1.272352,0.218855
0,-1.042834,0.260604
0,0.052162,0.513038
0,-2.17251,0.102246
1,3.508192,0.97092
0,-2.226426,0.097402
0,-1.378102,0.201314
0,-0.579365,0.359079
0,0.990225,0.729132
1,1.990678,0.879815
0,-1.689436,0.15585
0,-2.750221,0.060074
0,0.491329,0.62042
0,-1.225127,0.227035
1,-0.675709,0.33722
0,-2.437543,0.080354
1,0.330797,0.581953
0,-1.057862,0.257718
0,-1.689178,0.155884
0,0.601163,0.645922
1,2.819045,0.943696
0,-3.05241,0.045114
1,1.203891,0.769216
0,-1.162037,0.238297
1,0.567865,0.63827
0,1.768185,0.854232
0,0.039233,0.509807
0,-1.074667,0.254516
0,-1.068325,0.255722
1,0.31946,0.579193
0,0.389685,0.596207
0,-0.010538,0.497366
0,-0.687205,0.334655
0,-0.558136,0.363979
0,-0.745859,0.321724
0,-2.793523,0.057675
1,2.487851,0.923286
0,-0.87494,0.294227
1,1.895771,0.869412
0,-0.900283,0.288992
0,-0.028596,0.492851
1,0.14803,0.53694
0,1.315061,0.788359
0,0.471476,0.615733
1,1.466931,0.81259
1,1.785292,0.856349
0,-1.315251,0.211609
0,-1.924695,0.127339
1,3.980357,0.981664
1,-0.40998,0.398917
1,1.491219,0.816261
0,2.126534,0.893455
1,0.225609,0.556164
0,-1.759626,0.146837
0,-2.459197,0.078769
1,2.584399,0.929851
1,-0.342271,0.415258
0,-0.910345,0.286929
0,-2.073189,0.11173
0,0.545196,0.63302
0,-0.594476,0.355608
0,-2.486131,0.076836
0,-1.608601,0.166783
1,1.897068,0.869559
1,1.957272,0.876237
1,2.015183,0.882382
1,1.577983,0.828919
1,0.762331,0.68186
1,0.149987,0.537427
0,-1.176967,0.235598
0,-1.290454,0.215776
1,0.61405,0.648864
1,2.795455,0.94243
1,2.303124,0.909135
1,2.808872,0.943153
0,1.480693,0.814677
0,-1.837204,0.137382
0,-0.9693,0.27502
0,-2.183978,0.101198
1,1.279075,0.782292
0,-2.092245,0.109853
0,-1.768264,0.145758
0,-3.194725,0.039365
1,0.637998,0.654301
0,0.263858,0.565584
0,-0.130825,0.46734
0,-0.573054,0.360532
0,-1.599004,0.168121
0,-1.356044,0.204884
0,-0.629953,0.347521
1,-0.419068,0.39674
0,0.844239,0.699357
1,-0.941935,0.28051
0,-2.043115,0.11475
0,-3.070583,0.044337
0,-2.423207,0.08142
1,0.265046,0.565876
0,-1.479913,0.185441
0,-0.645364,0.344035
0,2.14973,0.895644
1,0.127356,0.531796
0,-2.366312,0.085778
0,1.817154,0.860224
0,-1.737155,0.149675
0,-2.497777,0.076014
0,1.445318,0.809277
0,1.123074,0.754558
0,-1.186328,0.233916
0,-2.12179,0.106997
1,3.243048,0.962422
0,-0.227968,0.443254
0,2.68254,0.935988
0,-0.829721,0.303704
1,-1.325442,0.209914
0,0.453594,0.611493
1,1.198741,0.768301
1,1.088892,0.748173
1,4.012511,0.982233
1,3.9283,0.980703
1,0.835565,0.69753
1,-1.199895,0.231494
0,-1.158247,0.238986
0,-1.976442,0.121699
1,1.045006,0.739815
0,-0.25865,0.435696
0,0.516015,0.626215
0,-0.805951,0.308754
0,0.640025,0.654759
0,0.61768,0.649691
1,-0.516401,0.373694
0,-2.970419,0.04878
0,-1.206616,0.2303
1,0.02204,0.50551
0,-0.84393,0.300708
1,-3.047276,0.045335
0,-2.645397,0.066273
1,1.820858,0.860669
1,3.178099,0.960002
0,0.591114,0.643621
0,-0.327353,0.418885
0,-1.603239,0.167529
1,0.899,0.710744
0,0.48098,0.617979
0,-0.785484,0.313139
0,-2.205092,0.099294
0,-0.647227,0.343615
1,3.470236,0.969829
0,-4.461083,0.011418
0,1.127091,0.755302
0,1.032144,0.737331
0,-1.585391,0.170033
0,0.625499,0.651468
0,-1.492271,0.183581
0,-1.162489,0.238215
1,2.590683,0.93026
0,1.297343,0.785387
0,0.017956,0.504489
0,-2.064209,0.112624
1,0.544577,0.632877
1,-2.287085,0.092198
0,-2.072925,0.111756
1,1.123131,0.754569
1,1.740063,0.850695
1,-0.002063,0.499484
1,-1.589573,0.169444
0,0.819547,0.69414
0,0.329071,0.581533
0,0.650227,0.657062
1,1.166053,0.762431
0,-2.216336,0.098293
0,0.108933,0.527206
1,1.991323,0.879883
1,0.628229,0.652088
0,-1.216811,0.228498
1,-1.080457,0.25342
0,-0.43251,0.393527
1,1.666397,0.841095
1,2.897067,0.947701
0,-1.22478,0.227096
0,-1.164632,0.237827
1,2.460887,0.921354
0,-2.60249,0.068978
0,-2.58197,0.070308
1,-0.860069,0.297325
0,-0.350672,0.41322
0,1.027629,0.736456
0,-0.914014,0.286179
0,-0.494839,0.378754
1,2.285524,0.907671
0,-1.594487,0.168753
0,-0.904287,0.28817
0,0.739068,0.676792
0,-3.593637,0.026762
1,1.545712,0.824294
0,-1.868526,0.133712
0,-0.560242,0.363491
0,0.699873,0.66816
0,-2.800025,0.057323
1,2.695166,0.936741
0,-0.24074,0.440104
1,-0.296945,0.426304
0,-0.458303,0.387388
0,-0.753897,0.319973
0,0.465921,0.614418
0,1.052212,0.741199
1,0.316308,0.578424
0,0.177989,0.54438
0,-0.926298,0.283676
0,-3.521819,0.028698
0,-1.076709,0.254129
0,-1.860789,0.134611
0,-2.124034,0.106783
0,-2.279389,0.092844
0,-0.498525,0.377887
1,1.610061,0.83342
0,-0.034841,0.491291
0,0.058645,0.514657
0,0.137255,0.53426
0,-0.988584,0.271192
0,-2.506865,0.075378
0,-0.858066,0.297743
1,2.121118,0.892939
0,0.74639,0.678392
0,-0.432785,0.393461
0,-0.858554,0.297642
1,-0.243243,0.439487
0,-1.917095,0.128186
0,0.058823,0.514701
0,-2.113419,0.107799
0,-3.109656,0.042711
0,-0.702537,0.33125
1,-2.093966,0.109685
1,0.807967,0.691676
0,1.603975,0.832573
0,-1.629549,0.163892
0,0.232789,0.557936
0,-1.174598,0.236025
1,0.231886,0.557713
1,1.210334,0.770358
1,0.138045,0.534456
0,-1.814662,0.140076
1,2.946014,0.950075
1,3.749497,0.977011
0,-0.857804,0.297798
0,-1.827345,0.138555
1,-2.424469,0.081326
0,0.458544,0.612669
0,-1.294252,0.215134
0,-2.964713,0.049046
1,0.99315,0.72971
0,-2.194084,0.100283
0,-0.025859,0.493536
0,-3.006815,0.047119
0,-2.596775,0.069346
0,-0.026081,0.49348
0,-0.722313,0.326884
1,-0.421074,0.39626
0,2.480753,0.922781
0,-1.42602,0.19372
0,-1.314259,0.211775
0,-2.897942,0.052255
1,1.400127,0.802204
0,0.438307,0.607856
1,1.496776,0.817093
0,1.283056,0.782969
