day,spend_inr,is_spike
1,544.89,0
2,362.47,0
3,399.59,0
4,888.73,0
5,434.0,0
6,875.78,0
7,291.35,0
8,660.44,0
9,786.04,0
10,469.96,0
11,627.86,0
12,1174.23,0
13,352.85,0
14,546.77,0
15,310.82,0
16,211.98,0
17,631.64,0
18,464.01,0
19,502.45,0
20,343.41,0
21,467.1,0
22,227.26,0
23,618.93,0
24,638.8,0
25,345.92,0
26,220.31,0
27,581.84,0
28,934.2,0
29,1041.3,0
30,644.99,0
31,473.12,0
32,413.83,0
33,228.89,0
34,435.44,0
35,462.44,0
36,212.52,0
37,486.24,0
38,434.66,0
39,294.83,0
40,9682.86,1
41,141.42,0
42,344.85,0
43,347.54,0
44,299.4,0
45,594.47,0
46,153.86,0
47,731.43,0
48,519.22,0
49,568.48,0
50,441.94,0
51,326.19,0
52,423.95,0
53,474.7,0
54,352.75,0
55,401.31,0
56,323.88,0
57,611.2,0
58,169.29,0
59,279.87,0
60,470.41,0
61,361.11,0
62,444.26,0
63,408.28,0
64,461.56,0
65,609.35,0
66,272.63,0
67,301.49,0
68,283.47,0
69,175.45,0
70,265.6,0
71,396.88,0
72,358.88,0
73,213.68,0
74,495.48,0
75,570.33,0
76,398.26,0
77,212.36,0
78,622.08,0
79,231.24,0
80,444.35,0
81,328.47,0
82,334.83,0
83,247.68,0
84,321.28,0
85,299.04,0
86,407.97,0
87,502.72,0
88,414.71,0
89,784.85,0
90,285.21,0
91,385.48,0
92,412.07,0
93,389.81,0
94,476.81,0
95,738.73,0
96,468.87,0
97,461.26,0
98,270.19,0
99,847.31,0
100,420.22,0
101,211.97,0
102,435.61,0
103,243.82,0
104,196.18,0
105,1354.43,0
106,437.67,0
107,344.71,0
108,437.88,0
109,439.36,0
110,226.33,0
111,307.77,0
112,326.79,0
113,449.33,0
114,554.37,0
115,464.56,0
116,818.9,0
117,202.67,0
118,271.09,0
119,315.55,0
120,414.0,0
121,527.48,0
122,294.06,0
123,498.35,0
124,148.67,0
125,444.72,0
126,426.9,0
127,301.1,0
128,380.22,0
129,427.75,0
130,855.52,0
131,440.82,0
132,586.42,0
133,293.79,0
134,350.8,0
135,359.08,0
136,226.6,0
137,601.96,0
138,303.87,0
139,496.06,0
140,553.06,0
141,482.31,0
142,208.32,0
143,1034.29,0
144,364.53,0
145,694.17,0
146,475.07,0
147,828.23,0
148,708.6,0
149,149.11,0
150,404.19,0
151,452.67,0
152,535.15,0
153,474.48,0
154,516.17,0
155,505.27,0
156,288.03,0
157,656.67,0
158,577.23,0
159,439.36,0
160,626.16,0
161,236.33,0
162,598.04,0
163,482.72,0
164,356.96,0
165,381.13,0
166,240.74,0
167,373.35,0
168,238.87,0
169,531.32,0
170,327.09,0
171,153.01,0
172,593.0,0
173,327.22,0
174,963.11,0
175,368.04,0
176,807.73,0
177,561.13,0
178,644.35,0
179,528.73,0
180,636.75,0
181,244.76,0
182,430.16,0
183,459.0,0
184,570.74,0
185,448.32,0
186,615.34,0
187,647.26,0
188,393.59,0
189,1314.95,0
190,368.43,0
191,275.99,0
192,648.24,0
193,377.43,0
194,734.63,0
195,601.93,0
196,662.85,0
197,449.56,0
198,788.13,0
199,674.75,0
200,316.61,0
201,249.61,0
202,360.16,0
203,516.78,0
204,611.33,0
205,354.08,0
206,436.98,0
207,223.39,0
208,562.01,0
209,314.92,0
210,618.6,0
211,429.05,0
212,555.28,0
213,398.36,0
214,272.37,0
215,438.11,0
216,593.76,0
217,368.29,0
218,456.16,0
219,204.56,0
220,347.77,0
221,301.64,0
222,458.82,0
223,589.51,0
224,262.64,0
225,367.88,0
226,520.87,0
227,193.15,0
228,432.16,0
229,477.25,0
230,570.99,0
231,337.04,0
232,271.45,0
233,340.37,0
234,626.05,0
235,294.14,0
236,453.19,0
237,207.58,0
238,195.47,0
239,324.05,0
240,609.03,0
241,461.28,0
242,864.55,0
243,345.72,0
244,293.97,0
245,374.98,0
246,484.33,0
247,647.8,0
248,214.85,0
249,785.9,0
250,352.2,0
251,242.07,0
252,483.6,0
253,212.82,0
254,465.99,0
255,439.27,0
256,340.06,0
257,218.77,0
258,415.56,0
259,465.9,0
260,404.36,0
261,305.7,0
262,488.91,0
263,457.79,0
264,409.35,0
265,514.24,0
266,493.25,0
267,799.7,0
268,419.49,0
269,369.43,0
270,417.24,0
271,1008.33,0
272,253.51,0
273,256.39,0
274,495.47,0
275,401.94,0
276,333.67,0
277,398.04,0
278,366.53,0
279,432.8,0
280,582.33,0
281,301.81,0
282,431.75,0
283,497.37,0
284,371.82,0
285,235.79,0
286,420.68,0
287,976.27,0
288,257.4,0
289,461.66,0
290,495.3,0
291,555.61,0
292,678.85,0
293,185.21,0
294,263.94,0
295,549.58,0
296,594.15,0
297,338.34,0
298,733.04,0
299,309.52,0
300,503.63,0
301,388.99,0
302,743.77,0
303,628.52,0
304,381.4,0
305,454.52,0
306,335.63,0
307,413.21,0
308,327.01,0
309,471.78,0
310,700.99,0
311,253.08,0
312,315.01,0
313,458.96,0
314,870.01,0
315,352.15,0
316,280.65,0
317,478.52,0
318,458.43,0
319,1201.92,0
320,700.31,0
321,235.0,0
322,380.07,0
323,377.74,0
324,551.17,0
325,459.3,0
326,521.36,0
327,404.21,0
328,463.98,0
329,248.3,0
330,364.76,0
331,502.39,0
332,246.17,0
333,594.04,0
334,397.16,0
335,562.93,0
336,293.94,0
337,193.85,0
338,343.29,0
339,495.22,0
340,478.22,0
341,326.7,0
342,351.01,0
343,337.75,0
344,406.1,0
345,310.25,0
346,346.52,0
347,246.39,0
348,339.63,0
349,260.7,0
350,242.97,0
351,454.73,0
352,538.9,0
353,532.75,0
354,573.5,0
355,639.54,0
356,634.27,0
357,198.93,0
358,265.85,0
359,1165.19,0
360,643.67,0
361,731.91,0
362,395.27,0
363,349.62,0
364,450.4,0
365,213.14,0
366,335.68,0
367,381.88,0
368,331.44,0
369,252.97,0
370,310.24,0
371,241.09,0
372,272.27,0
373,295.91,0
374,519.45,0
375,178.5,0
376,534.05,0
377,462.58,0
378,703.68,0
379,333.89,0
380,642.69,0
381,248.46,0
382,678.04,0
383,257.18,0
384,234.96,0
385,428.57,0
386,582.76,0
387,208.11,0
388,501.15,0
389,824.22,0
390,402.89,0
391,222.48,0
392,622.11,0
393,446.65,0
394,952.56,0
395,359.23,0
396,798.18,0
397,673.78,0
398,622.8,0
399,352.74,0
400,246.4,0
401,635.04,0
402,478.71,0
403,270.9,0
404,370.77,0
405,642.1,0
406,765.57,0
407,283.54,0
408,393.04,0
409,495.26,0
410,731.71,0
411,319.25,0
412,500.22,0
413,217.79,0
414,235.57,0
415,471.65,0
416,239.71,0
417,743.44,0
418,392.27,0
419,338.84,0
420,182.51,0
421,375.81,0
422,467.46,0
423,437.56,0
424,448.14,0
425,627.42,0
426,596.47,0
427,878.43,0
428,17126.8,1
429,719.78,0
430,363.92,0
431,411.08,0
432,349.08,0
433,412.49,0
434,432.63,0
435,286.51,0
436,414.79,0
437,638.98,0
438,521.44,0
439,295.04,0
440,366.9,0
441,410.41,0
442,452.92,0
443,695.55,0
444,383.12,0
445,364.36,0
446,1064.16,0
447,360.54,0
448,312.62,0
449,243.8,0
450,585.31,0
451,863.9,0
452,224.91,0
453,485.24,0
454,812.73,0
455,589.78,0
456,650.69,0
457,380.61,0
458,255.05,0
459,334.69,0
460,462.36,0
461,806.24,0
462,446.72,0
463,358.68,0
464,231.27,0
465,660.51,0
466,277.76,0
467,499.97,0
468,1208.05,0
469,211.25,0
470,530.79,0
471,497.76,0
472,359.55,0
473,536.59,0
474,241.73,0
475,466.3,0
476,453.28,0
477,346.27,0
478,265.54,0
479,596.0,0
480,236.91,0
481,456.53,0
482,418.82,0
483,587.07,0
484,780.12,0
485,217.38,0
486,353.4,0
487,694.14,0
488,449.94,0
489,390.24,0
490,1209.24,0
491,451.58,0
492,398.24,0
493,317.04,0
494,527.06,0
495,327.75,0
496,137.48,0
497,286.91,0
498,717.79,0
499,259.1,0
500,891.7,0
501,351.61,0
502,252.26,0
503,329.56,0
504,429.34,0
505,662.3,0
506,211.6,0
507,322.53,0
508,401.61,0
509,460.14,0
510,346.75,0
511,612.56,0
512,300.7,0
513,382.36,0
514,825.04,0
515,382.05,0
516,308.71,0
517,415.28,0
518,272.37,0
519,439.13,0
520,472.8,0
521,675.72,0
522,342.34,0
523,568.52,0
524,19128.24,1
525,243.13,0
526,520.25,0
527,287.7,0
528,394.61,0
529,314.33,0
530,714.07,0
531,278.8,0
532,915.61,0
533,606.75,0
534,441.37,0
535,327.51,0
536,208.37,0
537,629.16,0
538,410.74,0
539,407.58,0
540,276.35,0
541,398.79,0
542,279.01,0
543,374.19,0
544,393.08,0
545,353.1,0
546,519.84,0
547,779.32,0
548,504.68,0
549,536.45,0
550,299.24,0
551,263.46,0
552,248.9,0
553,315.31,0
554,478.68,0
555,270.15,0
556,459.57,0
557,536.79,0
558,152.12,0
559,1101.43,0
560,334.53,0
561,342.76,0
562,479.79,0
563,314.56,0
564,439.73,0
565,263.72,0
566,428.28,0
567,950.07,0
568,581.22,0
569,551.57,0
570,533.95,0
571,305.56,0
572,362.66,0
573,397.67,0
574,456.09,0
575,290.86,0
576,257.79,0
577,685.09,0
578,391.15,0
579,527.29,0
580,794.65,0
581,254.77,0
582,433.11,0
583,299.03,0
584,250.44,0
585,424.99,0
586,571.8,0
587,316.52,0
588,360.25,0
589,448.49,0
590,896.71,0
591,260.32,0
592,387.95,0
593,245.82,0
594,554.1,0
595,788.27,0
596,372.16,0
597,252.1,0
598,209.45,0
599,519.54,0
600,851.26,0
601,462.01,0
602,349.69,0
603,525.87,0
604,356.79,0
605,603.89,0
606,616.9,0
607,781.37,0
608,436.84,0
609,291.22,0
610,522.69,0
611,270.07,0
612,437.63,0
613,432.66,0
614,653.1,0
615,562.55,0
616,444.39,0
617,532.55,0
618,370.2,0
619,415.13,0
620,317.81,0
621,639.7,0
622,457.51,0
623,427.26,0
624,428.56,0
625,190.56,0
626,299.16,0
627,252.68,0
628,415.23,0
629,601.1,0
630,456.43,0
631,625.24,0
632,689.33,0
633,475.14,0
634,211.41,0
635,635.33,0
636,228.45,0
637,372.69,0
638,331.07,0
639,372.53,0
640,690.96,0
641,412.81,0
642,350.14,0
643,265.55,0
644,415.27,0
645,391.02,0
646,232.06,0
647,523.81,0
648,678.44,0
649,377.42,0
650,576.26,0
651,498.43,0
652,451.05,0
653,746.67,0
654,455.53,0
655,426.18,0
656,272.96,0
657,594.78,0
658,648.26,0
659,489.55,0
660,183.73,0
661,354.88,0
662,551.68,0
663,406.34,0
664,371.73,0
665,763.96,0
666,543.01,0
667,684.34,0
668,615.09,0
669,403.03,0
670,309.33,0
671,359.68,0
672,535.45,0
673,563.48,0
674,433.41,0
675,403.23,0
676,200.02,0
677,747.49,0
678,176.45,0
679,389.12,0
680,584.95,0
681,352.66,0
682,334.75,0
683,606.32,0
684,348.3,0
685,497.8,0
686,246.16,0
687,806.76,0
688,18827.66,1
689,306.4,0
690,569.67,0
691,457.94,0
692,439.55,0
693,499.37,0
694,213.68,0
695,559.38,0
696,580.94,0
697,289.12,0
698,284.3,0
699,566.35,0
700,341.02,0
701,226.38,0
702,423.9,0
703,419.55,0
704,504.33,0
705,933.03,0
706,253.14,0
707,672.18,0
708,9941.59,1
709,613.21,0
710,425.99,0
711,298.04,0
712,464.71,0
713,365.59,0
714,570.53,0
715,299.66,0
716,183.45,0
717,673.79,0
718,274.3,0
719,326.15,0
720,302.55,0
721,338.71,0
722,611.53,0
723,691.09,0
724,340.13,0
725,756.71,0
726,457.26,0
727,1256.05,0
728,153.15,0
729,434.56,0
730,570.74,0
731,401.12,0
732,320.7,0
733,311.77,0
734,470.82,0
735,321.84,0
736,209.55,0
737,716.93,0
738,405.03,0
739,628.24,0
740,638.2,0
741,426.43,0
742,365.99,0
743,616.1,0
744,714.99,0
745,330.31,0
746,338.54,0
747,423.83,0
748,444.05,0
749,230.88,0
750,626.25,0
751,466.37,0
752,675.5,0
753,596.11,0
754,6959.87,1
755,391.13,0
756,276.7,0
757,328.97,0
758,284.33,0
759,1385.5,0
760,291.63,0
761,111.52,0
762,380.25,0
763,391.35,0
764,856.17,0
765,400.43,0
766,338.37,0
767,201.33,0
768,534.21,0
769,234.56,0
770,191.64,0
771,322.51,0
772,403.49,0
773,251.73,0
774,620.54,0
775,199.61,0
776,161.27,0
777,642.26,0
778,297.46,0
779,313.14,0
780,343.11,0
781,381.36,0
782,579.47,0
783,427.07,0
784,399.01,0
785,295.72,0
786,583.65,0
787,375.0,0
788,355.69,0
789,624.17,0
790,504.91,0
791,236.41,0
792,344.48,0
793,528.32,0
794,402.73,0
795,781.06,0
796,397.98,0
797,720.05,0
798,133.92,0
799,299.72,0
