income_inr,age_years,utilisation_ratio,enquiries_6m,tenure_months,emi_to_income,late_payments_12m,card_count,noise_1,noise_2,noise_3,noise_4,default,credit_limit_inr
78625.69,39.9,0.53381,2.0,53.0,0.400061,0.0,2.0,-0.881824,0.619435,-0.503701,0.685483,0,161224.36
46102.98,51.8,0.230333,0.0,62.0,0.094837,1.0,0.0,-0.632929,0.082093,-1.85162,-0.312194,0,110042.49
52381.35,41.6,0.05849,4.0,24.0,0.039157,0.0,4.0,-0.137783,-0.752372,1.731384,1.58094,0,134228.0
149207.06,31.4,0.75444,1.0,40.0,0.521728,1.0,2.0,-0.01635,1.39518,0.538901,1.237653,0,317102.61
58366.19,52.1,0.360836,0.0,43.0,0.200506,0.0,4.0,-0.941663,-1.074374,0.395059,0.115148,0,124668.3
146367.67,48.8,0.312179,1.0,160.0,0.231849,4.0,0.0,0.203009,0.083796,-0.787382,0.245125,0,304030.38
34635.56,22.1,0.337846,2.0,48.0,0.257373,0.0,2.0,-0.912778,-0.176431,-1.262399,-0.784268,0,50135.23
101144.54,38.3,0.502549,1.0,135.0,0.464865,0.0,3.0,-1.121524,-0.824518,1.449758,1.139209,0,234597.11
127045.1,41.1,0.506052,1.0,46.0,0.393849,1.0,3.0,-1.139407,0.459346,-1.163101,0.790824,0,270279.76
64778.56,32.0,0.259388,1.0,80.0,0.225311,1.0,1.0,-0.66627,-0.784042,0.489976,0.186852,0,144285.98
94661.71,35.0,0.1996,1.0,28.0,0.243786,0.0,0.0,0.743645,-1.584458,0.290739,0.286553,0,224191.84
214892.19,29.7,0.490599,3.0,46.0,0.334511,0.0,2.0,-1.192959,0.853766,1.486798,1.794806,0,504361.56
44508.42,21.0,0.267938,5.0,37.0,0.217066,2.0,2.0,1.124633,-0.477024,1.696383,1.282484,0,93695.22
78981.84,26.8,0.275566,0.0,63.0,0.270084,1.0,1.0,0.023563,-1.741028,-0.318625,0.29482,0,199430.38
37696.23,43.8,0.411432,2.0,62.0,0.209944,2.0,2.0,-0.449939,0.779504,0.629926,-2.611749,0,59846.21
22837.53,21.0,0.582722,3.0,9.0,0.386859,2.0,3.0,-0.406128,-0.386882,-0.860854,1.507289,1,5000.0
95408.34,54.2,0.269328,1.0,25.0,0.289961,1.0,2.0,1.336814,0.18512,1.024335,1.392632,0,206885.89
63707.98,23.0,0.31491,0.0,15.0,0.231394,2.0,2.0,1.170028,0.1885,0.257668,1.297812,0,110250.96
70705.9,31.7,0.317435,1.0,25.0,0.242665,0.0,4.0,1.499765,-2.603623,0.710853,-0.604921,0,141032.04
42955.55,38.5,0.721896,2.0,59.0,0.481164,2.0,4.0,0.544734,0.636492,-1.875014,-0.181982,0,92791.28
64264.05,46.8,0.336589,0.0,62.0,0.291546,0.0,4.0,0.228517,-0.041548,-0.758579,-1.83771,0,142556.74
25016.35,32.5,0.460068,2.0,26.0,0.343461,4.0,0.0,1.0562,0.446088,-0.294781,0.604878,1,18222.44
92903.36,47.3,0.365747,1.0,50.0,0.311805,1.0,1.0,-1.100584,1.34722,0.896491,0.151907,0,232805.79
96827.53,42.0,0.416418,5.0,99.0,0.398279,2.0,3.0,0.496433,2.072443,-2.144253,-1.662375,0,205784.32
43366.93,45.4,0.756288,1.0,68.0,0.503986,7.0,1.0,0.409559,-0.489457,-1.025929,-0.360297,1,16012.34
24020.16,28.1,0.202592,2.0,106.0,0.175288,1.0,1.0,0.594984,0.411556,-1.099388,-1.041012,0,48814.8
85679.85,45.3,0.341355,0.0,116.0,0.202362,2.0,1.0,-2.07423,0.03291,-0.946972,1.172311,0,216294.61
159283.85,21.0,0.200491,0.0,74.0,0.14799,0.0,2.0,-0.88611,-0.080179,0.07453,-0.808936,0,400624.84
183608.46,38.0,0.342709,1.0,104.0,0.277034,0.0,3.0,-0.02104,0.449189,-1.263481,-0.555663,0,459261.6
98059.03,38.7,0.50529,1.0,69.0,0.3771,1.0,2.0,0.007647,-0.187189,-0.282228,-0.943928,0,195883.83
65349.23,35.7,0.294476,1.0,16.0,0.141655,3.0,2.0,-0.864247,0.953595,-0.024759,1.298263,0,118658.38
54839.77,41.9,0.559727,1.0,50.0,0.431657,3.0,0.0,-1.427045,-0.763761,0.60625,0.076959,0,61819.32
25251.81,44.1,0.281665,3.0,43.0,0.160702,0.0,1.0,-1.66508,0.171916,-1.142789,0.431945,0,35712.26
58620.07,36.4,0.500993,1.0,56.0,0.397884,3.0,1.0,0.789207,-0.09434,-0.419181,0.34646,0,96842.04
63425.63,39.1,0.321553,1.0,152.0,0.277525,1.0,1.0,-0.758298,-0.695868,0.368633,0.479063,0,145819.68
22913.7,45.1,0.3532,3.0,37.0,0.162899,1.0,2.0,-1.470159,-1.703378,-0.203523,-0.93134,0,21075.07
67733.12,32.5,0.252087,1.0,34.0,0.121553,1.0,1.0,2.041401,-1.101164,2.341264,1.011349,0,153931.87
58483.23,31.5,0.458768,0.0,61.0,0.229816,1.0,4.0,0.232486,-0.776597,-0.213507,1.300948,0,119898.02
35178.63,32.5,0.50055,4.0,87.0,0.458063,0.0,3.0,0.149488,0.046624,-0.801442,-0.456999,0,110425.41
34826.98,33.1,0.089859,2.0,109.0,0.0,1.0,4.0,0.066788,0.210124,0.126626,0.70478,0,88300.82
13441.99,35.4,0.234323,1.0,107.0,0.156473,0.0,1.0,-0.583128,0.848264,0.476329,0.241143,1,64608.08
43191.47,56.3,0.420361,3.0,72.0,0.288153,1.0,2.0,0.878203,-1.415181,-1.304972,-0.118916,0,65535.49
43633.41,27.4,0.309689,0.0,76.0,0.253688,0.0,1.0,1.79414,-1.483455,1.719481,0.52494,0,75612.52
35893.29,42.3,0.307719,1.0,42.0,0.182099,0.0,4.0,1.713095,-0.765803,-1.12041,0.63906,0,78688.01
88124.16,29.6,0.341955,1.0,89.0,0.236758,2.0,1.0,-0.757642,-1.241933,1.233222,1.729818,1,190187.47
15011.15,35.1,0.445389,1.0,24.0,0.282648,1.0,6.0,-2.737357,-0.714422,1.007118,0.467258,1,18083.47
115614.8,21.4,0.54619,2.0,41.0,0.421691,0.0,2.0,-1.375772,-1.602402,-1.468668,-0.660005,0,256871.08
73811.86,46.6,0.437867,1.0,52.0,0.349165,3.0,0.0,0.16817,0.963283,1.462617,-1.915773,0,127122.96
83113.77,37.0,0.453109,0.0,23.0,0.19286,1.0,2.0,0.13333,0.808726,1.975013,-0.4875,0,181064.99
59768.54,25.4,0.300333,3.0,48.0,0.252902,1.0,5.0,-0.612872,0.083836,-0.247277,-0.425495,1,151966.94
40156.07,23.6,0.480459,2.0,44.0,0.392549,0.0,0.0,0.617842,2.512254,0.733448,0.236619,1,76314.88
56602.65,47.3,0.417171,2.0,118.0,0.15528,1.0,2.0,0.620647,-2.511259,0.370154,-0.469826,1,112083.88
65635.28,32.8,0.359224,3.0,25.0,0.306253,1.0,2.0,1.013302,-1.228192,-0.989142,-1.255988,0,152242.02
44491.13,38.1,0.022215,2.0,45.0,0.073215,0.0,2.0,0.955598,0.312545,-0.195671,-0.247142,0,116083.38
52678.08,32.4,0.370888,2.0,96.0,0.390415,1.0,4.0,0.369189,-1.21968,-0.240099,-0.878651,0,147118.57
39784.69,45.7,0.292181,5.0,49.0,0.244865,3.0,2.0,-0.08911,-0.605184,-0.438103,0.69154,0,31143.33
91385.54,36.0,0.474755,2.0,44.0,0.334295,2.0,2.0,-0.409665,-0.99974,0.578416,-0.784672,0,172547.35
17011.67,45.6,0.412162,1.0,21.0,0.397589,0.0,2.0,-0.332321,-0.08308,-0.60857,0.219935,0,44953.61
32859.45,35.2,0.094172,0.0,210.0,0.09559,0.0,3.0,-1.195868,2.095283,1.776837,0.193793,0,102513.24
64860.17,49.0,0.146695,1.0,36.0,0.068168,2.0,4.0,-1.51319,-0.181171,-0.632868,-0.696254,0,166803.84
45876.49,45.2,0.503682,0.0,37.0,0.390055,1.0,2.0,-1.826074,0.067609,-1.518445,1.155808,0,104150.21
60179.86,45.7,0.4721,0.0,50.0,0.316383,1.0,3.0,1.090939,0.6863,0.222741,2.33818,0,142927.35
53879.02,30.7,0.109958,0.0,39.0,0.168154,0.0,2.0,1.291782,0.443189,0.93383,-0.14119,0,111095.58
63266.61,55.8,0.668297,1.0,41.0,0.475689,3.0,2.0,0.070135,0.43519,0.861662,-0.621203,1,115748.41
91023.18,35.8,0.543301,0.0,50.0,0.435736,3.0,0.0,-0.387743,0.274347,-0.696156,-0.301545,0,171414.75
31750.51,25.0,0.278493,1.0,170.0,0.230615,0.0,2.0,-1.012415,0.032366,0.494514,-0.706213,0,80647.16
36222.63,31.8,0.329025,3.0,75.0,0.217853,2.0,3.0,-0.280086,-1.847253,-0.475931,1.270092,1,81335.52
33413.05,34.6,0.121883,0.0,27.0,0.112508,2.0,0.0,-1.041219,1.129931,1.330983,-1.688481,0,70816.52
17827.67,46.4,0.19584,0.0,77.0,0.206771,2.0,1.0,1.494136,0.869739,1.593403,0.71913,0,5000.0
30682.84,40.2,0.340735,4.0,19.0,0.128429,4.0,1.0,0.086591,-0.142696,-0.225131,-0.087514,0,54511.56
51917.03,39.4,0.513738,0.0,79.0,0.352428,1.0,1.0,-1.827527,-0.130416,-0.19439,0.267699,0,119627.34
45507.31,42.3,0.260288,2.0,34.0,0.223211,1.0,5.0,-0.527023,1.974704,2.456416,0.671393,0,100190.4
23077.86,53.8,0.320714,1.0,33.0,0.254876,0.0,2.0,0.240785,-0.012651,-1.724437,-0.910129,0,42730.03
69423.23,38.8,0.156541,0.0,22.0,0.249618,1.0,5.0,2.012579,-0.206357,-0.447584,-0.137021,0,181516.61
83468.62,30.3,0.584488,1.0,42.0,0.441176,1.0,4.0,-1.302618,-0.946585,-1.198925,-1.922048,0,187075.02
52153.4,54.5,0.524745,1.0,142.0,0.354506,2.0,2.0,0.485766,-1.220885,-1.079063,0.813133,0,108040.97
22891.13,21.3,0.382809,1.0,73.0,0.244961,3.0,2.0,-1.270172,-0.034232,0.79425,0.203157,1,36945.44
93522.9,40.5,0.586853,1.0,30.0,0.291689,1.0,5.0,-2.575734,1.636806,-0.264983,0.32546,0,180051.96
25591.5,47.4,0.50501,1.0,57.0,0.423135,0.0,3.0,-0.676474,-0.146376,0.983695,-1.336933,0,52053.31
60196.3,40.9,0.269295,2.0,26.0,0.123597,1.0,1.0,-1.317661,3.406319,-0.739898,0.704034,0,116916.48
40524.52,44.9,0.50882,2.0,52.0,0.381485,2.0,3.0,-0.74831,0.290516,0.209757,-0.217317,0,96906.97
41555.1,38.2,0.661282,0.0,29.0,0.483608,3.0,2.0,0.472777,1.545903,-0.561893,0.763608,0,56132.39
28000.27,21.0,0.119208,0.0,31.0,0.075933,0.0,2.0,-0.3476,0.264849,1.818276,-0.219922,0,77298.92
39366.93,41.3,0.081593,1.0,26.0,0.096812,0.0,0.0,1.063993,0.855891,-1.709774,0.495365,1,109845.53
35837.19,32.9,0.42253,0.0,37.0,0.2566,0.0,0.0,0.810925,0.912412,-1.038513,-0.845129,0,74989.13
53825.21,34.2,0.29129,1.0,262.0,0.106125,1.0,1.0,0.388934,0.104359,1.162174,0.475042,0,134150.23
70755.23,21.0,0.588006,0.0,58.0,0.413675,1.0,3.0,-1.007701,0.213754,0.307456,-1.047773,0,151944.31
54992.98,41.9,0.364117,3.0,138.0,0.295116,1.0,3.0,-0.380868,1.018617,-0.145728,0.732858,0,131379.45
126793.97,22.9,0.484506,1.0,55.0,0.413747,1.0,2.0,-0.655303,-0.285398,-1.122554,-2.312554,0,305702.89
33682.82,44.0,0.645195,1.0,63.0,0.430388,1.0,2.0,-1.240676,-0.059574,0.526514,-1.173592,0,58203.4
49974.1,42.6,0.272875,2.0,60.0,0.221326,0.0,1.0,-1.649389,0.436009,1.721531,-1.336466,0,120495.9
54534.67,43.0,0.671906,2.0,54.0,0.540907,2.0,1.0,-1.285393,2.044668,-0.411983,1.060418,0,72001.17
50710.16,56.3,0.118323,3.0,20.0,0.0,1.0,1.0,-0.212785,-0.958655,-0.947844,-0.045477,0,111257.42
66018.92,39.7,0.458077,0.0,23.0,0.199011,0.0,1.0,-0.175219,0.89234,-0.485074,-0.666746,0,160930.93
117127.22,44.9,0.242176,1.0,166.0,0.1273,0.0,4.0,-0.448179,0.55531,0.267411,-1.530239,0,301417.54
64581.98,34.3,0.110706,1.0,60.0,0.101021,1.0,3.0,-0.962295,0.481732,-0.907559,1.250964,0,161456.69
63213.83,38.0,0.436303,1.0,59.0,0.41086,2.0,3.0,1.449117,-0.54677,-1.05637,-0.075594,0,119834.09
31379.36,43.6,0.860653,0.0,57.0,0.697548,2.0,0.0,0.275536,1.319727,0.184163,-1.068821,1,23048.53
140167.86,41.2,0.332406,1.0,40.0,0.207282,3.0,4.0,1.38235,-0.138308,-0.491973,0.90431,0,309589.58
55951.07,26.3,0.146568,1.0,60.0,0.130691,0.0,2.0,0.809689,-0.844374,-0.523076,1.814529,0,129646.3
22836.2,25.5,0.2963,2.0,23.0,0.157367,1.0,6.0,0.812407,-1.808193,0.161281,0.494094,0,62227.94
58649.87,53.2,0.559222,1.0,67.0,0.430119,4.0,4.0,-1.108878,0.867541,0.890687,-1.173435,0,78737.22
27430.52,53.5,0.165388,3.0,96.0,0.181729,1.0,4.0,0.331534,-0.114506,-0.119977,1.372194,0,92815.81
20635.06,21.0,0.294001,0.0,55.0,0.102428,0.0,2.0,-1.9128,0.468756,-1.512474,0.821733,0,46122.55
259070.04,36.2,0.666058,0.0,148.0,0.41539,5.0,2.0,-0.303417,-0.205948,-0.561014,0.247903,0,542045.88
59013.65,38.6,0.431215,1.0,82.0,0.296058,3.0,4.0,0.191275,-1.697117,1.084116,0.322978,1,129883.6
43168.91,46.0,0.252844,3.0,70.0,0.124482,1.0,5.0,1.052339,1.453139,1.190292,0.566516,0,90936.74
59051.16,55.1,0.500755,0.0,35.0,0.282662,2.0,2.0,-2.047105,1.031855,-0.226178,-0.764768,0,116308.66
59312.0,21.0,0.473891,0.0,28.0,0.323843,3.0,1.0,-0.742365,-0.432469,0.043563,0.014788,1,98408.03
24882.78,32.4,0.484571,0.0,18.0,0.381748,1.0,3.0,1.427468,-0.352398,-0.30998,0.217397,1,33602.67
37212.81,56.1,0.140276,3.0,62.0,0.170298,1.0,4.0,0.600888,0.707714,0.806841,-0.073922,0,104481.16
40252.65,43.3,0.383365,2.0,13.0,0.24393,1.0,3.0,0.484794,0.611058,-0.335677,0.680557,0,61715.0
61080.33,28.7,0.591475,4.0,87.0,0.435629,2.0,3.0,-1.967997,0.401959,-0.217197,-2.206173,0,118878.67
80421.81,28.2,0.093544,2.0,75.0,0.020715,1.0,3.0,0.557262,-0.049228,-0.065453,1.161282,0,215657.76
63805.7,21.0,0.063629,2.0,16.0,0.014279,0.0,2.0,-0.670344,0.127176,0.297234,0.421241,0,160568.29
134045.03,21.5,0.513687,1.0,118.0,0.326536,1.0,1.0,0.898093,1.366496,1.22714,0.724109,0,296633.4
21533.51,40.9,0.159727,0.0,40.0,0.060452,0.0,3.0,1.129342,-1.484151,-0.074352,1.157247,0,79290.37
31515.2,30.6,0.396631,4.0,84.0,0.281777,1.0,1.0,-1.5226,1.844909,-1.057419,-0.585293,1,57143.77
