row_id,true_class,logit_0,logit_1,logit_2,logit_3,logit_4
0,1,7.74268,10.644717,7.880374,5.88148,8.957075
1,0,5.299318,3.633585,4.420118,3.943551,3.951103
2,2,6.547789,6.837262,12.182981,7.676738,8.39712
3,0,9.67679,7.057348,5.611977,6.05216,5.874002
4,0,5.007946,4.864845,3.197718,3.836702,3.475842
5,0,9.326547,3.620604,3.85307,3.354705,2.144025
6,0,6.440996,3.918098,2.565736,1.554793,2.154412
7,0,13.821607,10.962837,11.679417,10.414638,10.090119
8,3,10.308235,8.741093,9.768091,17.626224,11.457212
9,2,3.561894,1.713674,4.572876,2.698591,1.857943
10,0,7.64608,6.641744,5.221548,8.018485,7.575744
11,1,4.402286,4.0078,1.782905,3.068272,3.497018
12,1,7.900117,14.006467,9.016465,9.572227,8.834547
13,1,8.125002,9.709487,8.694235,8.283254,6.683932
14,2,5.588606,3.029454,6.091439,3.775015,4.476842
15,0,10.214972,4.923732,5.190529,4.057415,3.994119
16,3,8.311177,7.764167,7.93154,8.371982,8.33593
17,2,5.025306,4.276506,9.312676,5.443992,4.669045
18,1,7.781663,11.251426,6.168193,7.718664,7.383136
19,1,3.20976,8.442077,3.342888,1.915137,2.829243
20,2,8.803559,8.548125,8.783948,11.185592,8.31779
21,2,4.607259,1.355157,7.462135,1.998821,1.825964
22,4,5.659866,5.879034,6.276422,4.108519,10.044225
23,1,7.612929,8.925516,8.141743,8.732844,6.634816
24,1,10.650214,12.269757,10.737707,10.413855,9.809669
25,3,5.236294,5.152908,3.873932,8.158093,7.195899
26,1,8.539731,11.920045,7.585833,6.763273,8.714434
27,3,4.751428,4.87544,6.086144,6.008083,4.349395
28,1,5.229162,5.507686,6.289852,6.556926,6.098312
29,1,9.487489,10.145254,6.238734,6.248529,5.851425
30,1,9.599334,9.749708,11.450627,8.779114,8.391196
31,1,7.431212,11.711848,7.31547,7.531443,6.539974
32,0,8.774454,7.693991,6.718926,7.699897,6.935636
33,3,5.119299,7.852614,6.057498,7.260661,7.491529
34,1,6.865373,16.847886,8.735138,8.653768,10.819412
35,4,9.144882,6.853968,5.34622,7.827679,9.545402
36,3,6.675938,4.62917,6.082566,9.843095,6.356159
37,1,7.651875,10.926468,8.142285,8.037785,6.751589
38,2,6.657381,3.565396,6.405612,7.171422,8.176785
39,3,11.024123,10.020284,9.291753,11.51993,9.376253
40,1,5.204062,9.681057,8.434913,7.424281,4.809612
