doc_id,topic,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47
0,3,-0.136044,-0.100026,-0.056359,0.118727,0.082815,0.023035,-0.158572,-0.200403,-0.123853,-0.158181,-0.039348,0.066416,0.031624,-0.025399,-0.148002,-0.122478,-0.097103,0.063753,-0.146492,0.245869,-0.128421,0.027621,-0.129862,-0.047593,0.037535,-0.130201,-0.100886,-0.185937,0.04619,0.278701,0.178376,-0.129597,0.145415,-0.150115,-0.136652,0.16654,-0.067862,0.300675,0.207262,-0.156402,0.027721,-0.358792,-0.125046,-0.148267,0.015654,-0.120707,0.01211,-0.19679
1,1,-0.17596,0.098155,0.043322,-0.102598,0.033882,0.130344,-0.057932,-0.162524,-0.232498,0.00783,-0.09967,-0.071412,-0.124338,-0.053333,0.03316,-0.13147,-0.021629,0.129689,-0.143533,0.235094,-0.082983,-0.27877,-0.015611,-0.111146,0.066726,0.097492,-0.22775,-0.214266,0.231716,0.229423,0.094627,-0.185514,-0.033029,0.113244,0.00131,0.119336,-0.153364,0.298576,0.096569,-0.092827,-0.242885,-0.205397,0.047237,-0.061299,0.105843,-0.014834,0.16599,-0.191186
2,4,-0.088962,-0.061733,-0.260638,-0.07535,-0.154716,-0.091267,-0.167519,-0.032034,-0.009726,-0.117224,-0.021452,0.040991,0.111454,-0.157341,0.049923,-0.290665,-0.136634,-0.038566,-0.362912,0.211658,-0.000424,-0.19249,-0.060838,-0.17417,0.115513,0.103197,-0.143755,-0.110141,-0.000999,0.152879,0.203177,-0.105991,0.014987,0.007814,-0.162773,0.135922,-0.140768,0.069804,0.073053,0.065257,-0.285511,-0.292903,-0.061124,-0.107434,-0.046789,-0.069983,0.208278,-0.012541
3,1,-0.091207,0.124241,0.073409,-0.028521,0.037949,0.163027,-0.0702,-0.211511,-0.221116,-0.019781,-0.172432,-0.09748,-0.127928,-0.054,-0.023755,-0.124179,-0.070407,0.119917,-0.157397,0.251964,0.031049,-0.153721,0.002641,-0.114657,0.034835,0.115872,-0.199536,-0.195361,0.222522,0.289579,0.152487,-0.202006,-0.04338,0.065072,0.122123,0.126039,-0.076328,0.242168,0.052645,-0.11024,-0.195227,-0.230163,-0.041266,-0.036567,0.160698,-0.093134,0.147338,-0.25794
4,5,0.124696,0.015525,-0.086285,-0.166673,-0.068489,-0.118483,-0.066032,-0.027646,-0.010862,-0.089376,-0.079088,-0.069977,-0.083628,-0.251822,-0.066666,-0.215297,0.08789,0.096649,-0.199347,0.136153,-0.048691,-0.058108,-0.13577,-0.104309,-0.004252,0.089759,-0.103042,-0.230755,0.08737,0.08266,0.028365,-0.157426,0.045415,0.131628,-0.070995,0.301354,-0.066142,0.339902,0.070875,0.064055,-0.319444,-0.427389,-0.037581,-0.073916,0.094477,0.070044,0.072376,-0.08568
5,5,0.106791,-0.039526,-0.085059,0.04359,-0.013061,-0.146517,-0.034233,-0.098903,-0.080031,-0.070627,-0.048967,-0.167947,0.082763,-0.106769,0.014907,-0.240927,0.043991,0.120255,-0.065528,0.235773,-0.146496,-0.061852,-0.28201,-0.104096,-0.143456,0.231537,-0.094271,-0.256936,0.106062,0.001379,0.033668,-0.121639,0.044641,0.231183,-0.066057,0.226449,-0.03518,0.371286,0.009027,-0.034328,-0.244697,-0.323237,-0.023885,0.003045,0.078392,0.075036,0.159042,-0.071748
6,2,-0.15204,-0.009973,-0.024517,-0.015205,-0.247307,-0.056982,-0.112331,-0.066723,-0.225048,0.040779,-0.08398,0.134535,-0.019721,0.006153,0.002746,-0.241508,-0.0554,0.035687,-0.028462,0.054092,-0.095985,-0.18345,-0.151579,0.079407,-0.040472,-0.014863,-0.029173,-0.17874,0.099074,0.254628,0.028605,-0.155844,-0.017295,0.321548,-0.072201,0.287183,0.074348,0.198218,0.159941,-0.149301,-0.283581,-0.298919,-0.241035,-0.096987,-0.023169,0.001637,0.105073,-0.103373
7,4,-0.083897,-0.036039,-0.276038,-0.06148,-0.180307,0.045574,-0.17922,-0.004124,-0.026472,-0.224007,-0.123833,-0.047611,0.113801,-0.006184,-0.060351,-0.333695,-0.043595,-0.115115,-0.234909,0.211612,0.036018,-0.213762,-0.161857,0.067367,0.126713,0.207384,-0.094774,-0.038667,0.016705,0.205483,0.161542,-0.136876,-0.082666,0.103086,-0.093006,0.126367,-0.137573,0.104103,0.074338,-0.070569,-0.325541,-0.242187,-0.069995,0.010661,-0.034219,-0.104461,0.143722,-0.118521
8,3,-0.050957,0.03336,-0.068182,0.241412,0.025665,0.026886,-0.174511,-0.126375,-0.023115,-0.123611,0.086147,0.037538,0.003944,-0.067481,-0.165322,-0.206591,-0.078417,0.072938,-0.222715,0.283632,-0.037704,0.064376,-0.145978,0.028413,0.160404,-0.053944,-0.215362,-0.225153,0.207523,0.300074,0.14788,-0.152368,0.116753,-0.023388,-0.096225,0.160928,-0.124033,0.168274,0.102676,-0.197266,-0.098664,-0.263122,-0.147161,-0.090334,-0.073385,-0.209939,-0.057323,-0.095914
9,1,-0.270233,-0.041432,0.023733,0.002462,0.010115,0.132252,-0.074193,-0.228139,-0.040696,0.07491,-0.101025,-0.140418,-0.128106,-0.005703,-0.01833,-0.191752,0.0696,0.108447,-0.199009,0.274825,-0.028889,-0.155389,-0.021088,-0.155677,0.079984,0.040499,-0.087526,-0.114679,0.255656,0.229534,0.036813,-0.227379,-0.012847,-0.007021,0.022084,0.185547,-0.086624,0.268315,0.182721,-0.09974,-0.222294,-0.217235,0.037489,-0.117333,0.127445,0.038524,0.151884,-0.258685
