account_ref,plan,support_tier,theme,tenure_months,monthly_spend,sessions_week,churned
103041,pro,priority,dark,12.5,585.53,11.25,0
104402,pro,none,dark,26.6,807.49,9.22,0
102413,basic,none,light,19.2,661.39,13.73,1
108198,basic,dedicated,light,13.7,686.65,8.52,1
108957,pro,priority,dark,20.8,697.83,11.4,0
110584,basic,none,light,21.1,423.68,4.37,1
101769,pro,dedicated,dark,14.6,686.17,11.34,0
111197,enterprise,dedicated,light,10.4,662.07,6.26,1
108310,basic,priority,light,13.1,631.34,14.46,0
103073,pro,dedicated,light,9.2,579.63,12.94,0
106119,basic,none,light,18.8,730.02,6.24,1
105966,enterprise,none,dark,18.9,585.39,12.01,0
109043,basic,none,light,16.4,586.05,8.44,1
111258,pro,email,dark,16.8,690.22,10.77,0
111414,basic,priority,light,20.9,944.17,14.66,0
108527,pro,email,light,21.7,635.81,6.36,0
102415,pro,priority,dark,12.6,457.91,5.82,1
109049,pro,email,dark,19.8,693.63,0.0,1
103734,basic,email,light,32.1,948.64,7.34,1
109218,basic,email,light,27.7,869.0,18.44,0
103150,pro,none,light,9.0,347.68,8.52,0
106832,pro,none,light,13.8,651.05,9.62,0
100125,enterprise,email,light,12.1,489.39,6.42,0
104823,basic,none,light,18.2,669.42,9.06,0
102985,basic,none,light,16.0,564.17,5.04,1
103891,enterprise,none,light,27.6,837.87,4.64,0
101488,pro,email,light,0.1,353.08,3.46,1
108593,enterprise,email,dark,15.5,665.52,8.56,0
105802,basic,priority,light,9.5,336.22,7.68,0
103009,pro,dedicated,dark,18.6,502.54,8.03,0
105452,pro,none,light,26.2,879.86,13.45,0
105376,pro,email,dark,9.3,486.1,8.92,1
103803,basic,email,dark,1.3,171.38,8.59,1
100716,pro,email,dark,8.3,408.97,7.61,1
109889,basic,email,dark,14.2,756.46,8.67,0
104366,basic,email,light,9.9,486.99,9.75,1
110958,pro,priority,light,4.1,241.19,9.52,0
107254,basic,none,dark,23.4,750.95,6.73,1
111034,basic,priority,light,17.1,490.75,11.88,0
107415,basic,email,light,26.3,504.92,7.63,1
110647,basic,priority,light,11.2,628.64,12.95,0
103402,pro,email,dark,11.3,506.73,10.85,0
100969,basic,email,light,11.7,359.84,9.05,1
111333,basic,none,light,13.7,651.54,7.96,0
103380,basic,priority,dark,2.9,210.9,9.84,0
110240,basic,none,dark,5.1,414.29,5.6,0
108642,pro,email,light,24.2,695.53,5.52,1
103727,basic,none,light,4.8,402.23,6.81,1
106814,enterprise,none,light,27.2,704.27,4.77,1
105952,pro,priority,dark,22.8,746.43,11.23,1
103803,pro,email,light,20.0,728.22,6.74,0
105511,pro,none,light,26.3,697.64,7.76,0
110358,basic,none,dark,28.0,696.64,7.61,0
103633,pro,dedicated,light,28.2,889.42,7.14,0
100811,enterprise,dedicated,light,26.6,651.02,9.43,0
111237,enterprise,email,dark,23.9,852.54,11.22,0
109710,basic,none,light,16.9,513.24,12.51,0
105284,basic,none,light,19.5,550.14,13.87,0
108613,pro,email,light,9.9,618.79,6.0,1
102349,basic,none,dark,13.5,557.48,11.66,0
109773,basic,email,light,16.3,522.08,0.0,1
105012,basic,none,light,9.9,327.61,6.75,1
106907,basic,email,light,11.6,478.31,9.87,0
104072,basic,email,dark,6.2,388.85,9.49,0
101100,enterprise,none,light,32.1,937.4,6.17,0
109201,pro,none,light,23.6,534.74,13.59,0
109147,basic,email,light,17.5,586.58,5.94,1
103240,basic,email,dark,19.0,786.93,14.38,0
106380,pro,none,dark,20.5,845.34,16.04,0
106474,pro,priority,light,5.7,529.11,11.94,0
103058,basic,none,light,6.8,585.17,11.6,0
109112,pro,email,dark,16.9,634.3,7.37,1
108106,basic,dedicated,dark,4.4,489.08,6.5,1
106702,basic,email,light,31.1,821.97,13.35,0
108290,pro,email,light,27.7,747.77,12.14,0
102097,basic,none,light,2.6,461.29,7.59,1
104708,basic,email,dark,3.7,299.87,12.84,0
106317,basic,email,light,7.1,480.26,2.37,1
100282,pro,none,dark,7.5,422.52,9.7,1
105142,enterprise,email,light,28.2,729.53,8.25,0
107479,pro,none,dark,22.3,827.1,8.06,0
103066,pro,none,light,19.6,747.81,16.96,0
104021,basic,none,light,17.0,605.8,3.03,1
106779,pro,priority,dark,7.0,322.34,12.41,0
100912,pro,email,light,7.7,323.72,6.1,0
100923,pro,priority,dark,11.8,648.54,8.07,0
109885,enterprise,priority,light,30.6,968.33,7.38,0
103606,basic,none,light,16.3,650.19,10.59,0
105990,basic,email,dark,22.6,877.88,14.36,0
107766,pro,dedicated,light,35.3,941.03,15.13,0
102018,basic,dedicated,light,22.9,794.48,11.12,0
108587,pro,none,light,20.9,890.77,8.43,0
104272,pro,priority,dark,36.2,1125.16,7.1,1
102894,enterprise,dedicated,light,18.0,496.47,12.41,0
105633,pro,dedicated,dark,24.9,780.89,9.41,0
108736,basic,email,light,20.2,757.67,9.16,0
111764,enterprise,none,light,37.8,1306.89,5.12,0
101439,basic,none,light,10.5,694.32,5.33,0
101425,pro,none,dark,29.2,979.82,10.67,0
101825,pro,email,dark,4.2,427.69,11.1,0
101389,basic,email,dark,2.3,349.26,11.71,0
101342,basic,none,dark,7.2,337.65,11.88,0
