week,ad_spend_k,revenue_k
1,23.531,79.011
2,40.651,148.459
3,32.91,113.256
4,40.889,144.249
5,43.289,155.09
6,43.239,142.032
7,6.462,36.517
8,36.956,142.838
9,8.019,49.81
10,49.536,189.446
11,45.502,163.854
12,4.895,35.88
13,23.363,109.159
14,20.262,64.474
15,21.028,82.004
16,35.983,129.461
17,44.722,172.469
18,34.498,132.908
19,20.694,88.647
20,21.703,76.048
21,34.903,126.544
22,32.479,114.33
23,5.118,41.008
24,40.06,154.708
25,37.198,126.501
26,16.932,63.56
27,2.516,20.845
28,46.413,162.179
29,33.062,129.439
30,44.275,140.874
31,5.125,27.793
32,57.297,205.65
33,11.823,55.945
34,2.244,13.703
35,13.407,48.541
36,14.228,55.678
37,57.416,197.163
38,37.186,119.412
39,7.983,32.593
40,54.214,179.246
41,51.776,152.002
42,27.462,111.219
43,34.578,127.451
44,49.36,160.643
45,22.129,84.109
46,16.153,65.603
47,45.906,157.092
48,34.211,109.053
49,40.948,139.805
50,7.782,26.415
51,26.074,99.016
52,8.483,38.199
53,16.596,60.268
54,55.303,191.314
55,43.791,151.536
56,24.704,86.186
57,13.553,51.443
58,11.494,45.445
59,12.843,35.164
60,42.72,157.181
61,43.433,155.801
62,47.736,163.906
63,7.174,25.419
64,34.04,131.775
65,10.017,40.65
66,55.596,195.325
67,12.295,47.053
68,29.799,122.579
69,54.606,196.945
70,21.986,81.299
71,57.695,200.705
72,28.547,116.216
73,39.955,141.798
74,2.672,18.171
75,45.322,150.62
76,30.308,107.022
77,4.309,16.939
78,14.158,61.421
79,52.812,184.741
80,26.284,102.327
81,39.06,144.432
82,41.304,152.709
83,33.265,119.842
84,23.373,83.198
85,39.973,143.321
86,31.606,112.654
87,34.477,114.42
88,50.831,178.056
89,10.166,49.868
90,2.472,18.426
91,29.38,108.314
92,49.557,163.147
93,54.563,191.858
94,29.869,100.101
95,51.874,178.379
96,28.48,109.409
97,24.652,83.699
98,58.629,185.131
99,8.026,37.349
100,4.594,30.854
101,41.605,147.236
102,19.763,78.36
103,37.406,131.099
104,14.23,41.251
105,27.218,88.453
106,46.394,150.775
107,20.327,77.469
108,3.521,18.267
109,22.579,80.016
110,50.84,180.77
111,45.61,149.571
112,59.476,202.104
113,17.151,64.777
114,40.765,144.497
115,38.679,131.459
116,7.445,39.167
117,54.758,195.804
118,22.067,73.944
119,46.409,170.175
120,37.313,129.298
121,39.399,142.989
122,3.624,16.97
123,5.115,20.192
124,6.192,26.62
125,13.918,55.955
126,50.648,170.531
127,56.27,198.082
128,13.115,49.513
129,7.236,40.769
130,46.891,159.051
131,34.747,115.553
132,10.873,53.071
133,55.441,198.312
134,20.895,74.3
135,26.082,89.067
136,15.486,59.056
137,58.343,199.066
138,38.271,132.319
139,48.588,158.564
140,52.097,175.545
141,44.494,152.469
142,29.21,111.35
143,4.596,30.92
144,35.733,147.493
145,50.996,180.689
146,51.814,166.696
147,28.138,91.692
148,15.788,65.545
149,12.752,50.142
150,51.795,176.381
151,12.374,47.442
152,12.582,40.815
153,26.947,103.404
154,17.486,70.051
155,2.64,15.573
156,9.124,44.696
157,43.619,143.03
158,34.163,127.004
159,53.121,174.955
160,29.466,117.752
161,16.059,68.717
162,10.81,46.301
163,26.472,79.925
164,45.063,162.582
165,13.701,66.355
166,32.954,132.506
167,17.18,66.257
168,37.469,136.901
169,13.935,45.554
170,19.65,70.435
171,7.67,45.148
172,6.255,38.935
