user_id,variant,device,day,converted
S-000001,treatment,mobile,5,0
S-000002,treatment,mobile,11,0
S-000003,treatment,mobile,4,0
S-000004,treatment,mobile,14,0
S-000005,control,desktop,12,0
S-000006,control,desktop,4,0
S-000007,control,desktop,1,0
S-000008,treatment,mobile,14,0
S-000009,control,desktop,7,0
S-000010,control,desktop,5,0
S-000011,control,desktop,4,0
S-000012,treatment,mobile,13,0
S-000013,control,desktop,12,0
S-000014,control,desktop,6,0
S-000015,control,desktop,14,1
S-000016,control,desktop,7,0
S-000017,control,mobile,9,0
S-000018,treatment,mobile,8,0
S-000019,treatment,mobile,14,0
S-000020,treatment,desktop,12,0
S-000021,treatment,desktop,2,0
S-000022,control,desktop,7,0
S-000023,control,desktop,3,0
S-000024,treatment,mobile,12,0
S-000025,control,desktop,5,0
S-000026,treatment,mobile,3,0
S-000027,control,desktop,3,0
S-000028,control,desktop,3,1
S-000029,treatment,mobile,3,0
S-000030,control,desktop,6,0
S-000031,treatment,desktop,1,0
S-000032,treatment,mobile,3,0
S-000033,control,desktop,13,0
S-000034,treatment,mobile,13,0
S-000035,control,desktop,13,0
S-000036,control,desktop,11,0
S-000037,control,desktop,10,0
S-000038,treatment,mobile,6,0
S-000039,control,desktop,12,0
S-000040,treatment,mobile,9,0
S-000041,control,desktop,14,0
S-000042,treatment,mobile,11,0
S-000043,treatment,mobile,1,0
S-000044,treatment,mobile,4,1
S-000045,control,desktop,6,0
S-000046,treatment,mobile,14,0
S-000047,control,desktop,5,0
S-000048,control,desktop,10,0
S-000049,treatment,mobile,4,0
S-000050,treatment,mobile,3,0
S-000051,control,desktop,2,0
S-000052,control,desktop,12,0
S-000053,treatment,mobile,14,0
S-000054,treatment,mobile,7,0
S-000055,control,desktop,7,0
S-000056,control,mobile,8,0
S-000057,treatment,mobile,14,0
S-000058,treatment,desktop,9,0
S-000059,control,desktop,3,0
S-000060,treatment,desktop,3,1
S-000061,treatment,mobile,13,0
S-000062,control,desktop,13,0
S-000063,treatment,mobile,6,0
S-000064,treatment,mobile,11,0
S-000065,control,desktop,5,0
S-000066,treatment,desktop,3,0
S-000067,treatment,desktop,12,0
S-000068,treatment,desktop,6,1
S-000069,control,desktop,13,0
S-000070,treatment,mobile,7,0
S-000071,control,desktop,4,0
S-000072,treatment,desktop,10,0
S-000073,control,desktop,3,0
S-000074,control,desktop,5,0
S-000075,control,desktop,2,0
S-000076,treatment,mobile,1,0
S-000077,control,mobile,5,0
S-000078,control,mobile,7,0
S-000079,control,desktop,1,0
