user_id,variant,device,day,converted
E-015510,treatment,mobile,9,0
E-021907,treatment,mobile,8,0
E-000756,control,mobile,2,0
E-018381,treatment,mobile,1,0
E-022078,treatment,mobile,7,0
E-020938,treatment,mobile,14,0
E-006146,control,mobile,6,0
E-012782,treatment,mobile,9,0
E-003797,control,desktop,5,0
E-006560,control,mobile,7,0
E-000285,control,desktop,8,0
E-023369,treatment,desktop,1,0
E-013460,treatment,desktop,4,0
E-012428,treatment,desktop,3,0
E-021215,treatment,mobile,11,0
E-021495,treatment,desktop,11,0
E-006250,control,mobile,3,0
E-012370,treatment,desktop,8,1
E-017847,treatment,mobile,14,0
E-017321,treatment,desktop,8,0
E-016878,treatment,desktop,8,0
E-009540,control,desktop,6,0
E-008779,control,mobile,14,1
E-009361,control,mobile,8,0
E-009425,control,mobile,6,0
E-004263,control,desktop,5,0
E-007541,control,desktop,11,0
E-002388,control,mobile,6,0
E-023743,treatment,mobile,8,0
E-022735,treatment,mobile,4,0
E-014650,treatment,mobile,8,0
E-007719,control,mobile,13,0
E-010784,control,mobile,13,0
E-008743,control,desktop,10,0
E-014255,treatment,mobile,7,0
E-009120,control,mobile,5,0
E-019837,treatment,mobile,14,0
E-013464,treatment,mobile,10,0
E-013577,treatment,desktop,10,0
E-023293,treatment,desktop,4,0
E-014746,treatment,mobile,1,0
E-014524,treatment,desktop,14,0
E-005715,control,mobile,7,0
E-000037,control,mobile,7,0
E-005359,control,mobile,10,0
E-013526,treatment,mobile,4,0
E-016143,treatment,mobile,8,0
E-000841,control,desktop,14,0
E-000574,control,desktop,6,0
E-016224,treatment,mobile,8,1
E-004952,control,mobile,9,0
E-008778,control,mobile,12,0
E-023972,treatment,desktop,10,0
E-023267,treatment,mobile,9,0
E-011331,control,mobile,6,0
E-016232,treatment,mobile,10,0
E-013046,treatment,mobile,8,0
E-007772,control,mobile,13,0
E-023627,treatment,mobile,7,0
E-009519,control,mobile,2,0
E-004818,control,desktop,2,0
E-019013,treatment,mobile,12,0
E-022258,treatment,mobile,5,0
E-010049,control,mobile,7,0
E-012646,treatment,mobile,3,0
E-009994,control,desktop,4,0
E-002180,control,desktop,11,0
E-016406,treatment,desktop,3,0
E-007654,control,desktop,2,0
E-001827,control,desktop,4,0
E-005057,control,desktop,3,0
E-002438,control,mobile,11,0
E-020163,treatment,mobile,10,0
E-012420,treatment,mobile,13,0
E-005630,control,mobile,14,0
E-000652,control,mobile,2,0
E-008816,control,desktop,5,0
E-011501,control,mobile,11,0
E-003518,control,mobile,9,0
E-005395,control,desktop,1,0
E-020542,treatment,mobile,1,0
E-012343,treatment,mobile,8,0
E-001745,control,mobile,10,0
E-014591,treatment,desktop,13,0
E-021902,treatment,desktop,2,0
E-022932,treatment,mobile,11,0
E-014809,treatment,desktop,10,0
E-004085,control,mobile,1,0
E-020053,treatment,mobile,5,0
E-006035,control,desktop,7,0
E-000541,control,desktop,10,0
E-007492,control,mobile,3,0
E-021513,treatment,desktop,1,1
E-000564,control,mobile,10,0
E-013754,treatment,mobile,4,0
E-006333,control,mobile,9,0
E-002347,control,desktop,10,0
E-006437,control,desktop,1,0
E-009643,control,desktop,14,0
E-017915,treatment,desktop,11,0
E-022900,treatment,mobile,1,0
E-001809,control,mobile,2,0
E-012623,treatment,mobile,10,0
E-010644,control,mobile,7,0
E-000148,control,mobile,6,0
E-008023,control,mobile,1,0
E-004312,control,mobile,11,0
E-009550,control,mobile,4,0
E-003468,control,mobile,4,0
E-010226,control,desktop,13,0
E-015802,treatment,mobile,8,0
E-016654,treatment,mobile,14,0
E-016502,treatment,mobile,9,0
E-009108,control,desktop,1,0
E-022086,treatment,desktop,2,1
E-015964,treatment,desktop,2,0
E-004159,control,mobile,7,0
E-004549,control,mobile,7,0
E-009768,control,desktop,3,1
E-015197,treatment,mobile,6,0
E-006932,control,mobile,10,0
E-010781,control,mobile,8,0
E-022123,treatment,mobile,7,0
E-020763,treatment,mobile,7,0
E-014533,treatment,desktop,3,0
E-021727,treatment,desktop,1,0
E-023423,treatment,desktop,13,0
E-000802,control,desktop,2,0
E-003017,control,desktop,7,0
E-008583,control,mobile,13,0
E-016923,treatment,desktop,4,0
E-019172,treatment,desktop,3,0
E-014047,treatment,desktop,8,0
E-020892,treatment,mobile,6,0
E-015317,treatment,mobile,13,0
E-011268,control,desktop,9,0
E-014177,treatment,mobile,6,0
E-018361,treatment,desktop,11,0
E-015165,treatment,desktop,11,0
E-010607,control,desktop,9,0
E-007643,control,mobile,13,0
E-008256,control,desktop,10,0
E-011114,control,mobile,10,0
E-000740,control,mobile,8,0
E-014721,treatment,mobile,9,0
E-022432,treatment,mobile,4,0
E-017243,treatment,mobile,7,0
E-023206,treatment,mobile,3,0
E-019313,treatment,mobile,11,0
E-005348,control,mobile,1,0
E-023637,treatment,desktop,12,0
E-009124,control,mobile,14,0
E-006225,control,mobile,11,0
E-004294,control,mobile,8,0
E-011460,control,mobile,10,0
E-005952,control,desktop,2,0
E-014649,treatment,desktop,10,0
E-015610,treatment,mobile,10,0
E-003539,control,mobile,10,0
E-016258,treatment,desktop,9,0
E-023032,treatment,desktop,10,0
E-005473,control,mobile,4,0
E-012050,treatment,mobile,5,0
E-010060,control,mobile,11,0
E-020397,treatment,mobile,10,0
E-018369,treatment,desktop,8,0
E-012140,treatment,mobile,6,0
E-003952,control,mobile,10,0
E-007463,control,mobile,6,0
E-016288,treatment,mobile,7,0
E-003884,control,desktop,3,0
E-013770,treatment,desktop,2,0
E-014258,treatment,mobile,11,0
E-015687,treatment,desktop,6,0
E-009622,control,mobile,11,0
E-003082,control,desktop,14,0
E-023496,treatment,mobile,4,0
E-020223,treatment,desktop,11,1
E-020178,treatment,desktop,10,0
E-006180,control,mobile,2,0
E-021193,treatment,desktop,9,0
E-000462,control,mobile,11,0
E-004105,control,desktop,13,0
E-012930,treatment,desktop,14,0
E-001412,control,mobile,4,0
E-021440,treatment,mobile,2,0
E-018885,treatment,desktop,10,0
E-012676,treatment,desktop,13,0
E-013198,treatment,mobile,8,0
E-022194,treatment,mobile,12,0
E-022683,treatment,mobile,5,0
E-004807,control,mobile,4,0
E-009440,control,desktop,10,0
E-021995,treatment,desktop,5,0
E-013062,treatment,mobile,3,0
E-009918,control,desktop,13,0
E-018490,treatment,mobile,13,0
E-012727,treatment,desktop,6,0
E-007196,control,desktop,10,0
E-000108,control,desktop,1,0
E-004285,control,mobile,11,0
E-001966,control,desktop,9,1
E-002345,control,desktop,9,0
E-006592,control,mobile,6,0
E-006196,control,desktop,10,0
E-018363,treatment,mobile,12,0
E-010347,control,mobile,13,0
E-019757,treatment,mobile,3,0
E-016069,treatment,mobile,13,0
E-011181,control,mobile,3,0
E-005811,control,mobile,3,0
E-009143,control,mobile,12,0
E-016280,treatment,mobile,7,0
E-015489,treatment,mobile,11,0
E-018054,treatment,desktop,12,0
E-019424,treatment,desktop,5,0
E-014428,treatment,desktop,2,0
E-018790,treatment,mobile,4,0
E-006046,control,mobile,5,0
E-014530,treatment,mobile,11,0
E-005638,control,mobile,6,0
E-023037,treatment,desktop,9,0
E-000201,control,mobile,2,0
E-011022,control,desktop,8,0
E-022978,treatment,mobile,12,0
E-017501,treatment,mobile,3,0
E-015776,treatment,desktop,7,0
E-020092,treatment,desktop,11,1
E-008848,control,mobile,3,0
E-020190,treatment,mobile,4,0
E-012185,treatment,mobile,2,1
E-011959,control,mobile,14,0
E-015032,treatment,mobile,2,0
E-001789,control,mobile,7,0
