unit_id,stratum,cluster,spend
U-000001,smb,81,285.69
U-000002,smb,282,431.2
U-000003,smb,175,274.88
U-000004,smb,583,259.08
U-000005,smb,581,205.38
U-000006,mid,256,593.22
U-000007,smb,184,248.55
U-000008,smb,328,207.92
U-000009,smb,531,156.93
U-000010,smb,114,131.78
U-000011,mid,477,702.4
U-000012,mid,455,455.58
U-000013,mid,147,619.22
U-000014,smb,410,251.0
U-000015,smb,125,222.17
U-000016,mid,50,516.26
U-000017,smb,563,228.56
U-000018,smb,239,183.12
U-000019,large,66,1365.64
U-000020,smb,66,241.45
U-000021,mid,540,666.06
U-000022,smb,54,249.85
U-000023,mid,166,745.72
U-000024,mid,365,589.51
U-000025,smb,593,253.94
U-000026,large,526,1235.25
U-000027,mid,275,423.17
U-000028,mid,2,439.52
U-000029,large,202,1703.36
U-000030,smb,184,263.74
U-000031,smb,596,309.64
U-000032,large,262,1333.31
U-000033,mid,571,776.7
U-000034,large,321,1197.52
U-000035,smb,471,268.51
U-000036,smb,501,288.3
U-000037,smb,128,247.08
U-000038,large,232,1036.69
U-000039,large,399,875.43
U-000040,mid,489,587.02
U-000041,large,38,1881.22
U-000042,mid,32,611.87
U-000043,smb,392,265.83
U-000044,smb,339,265.86
U-000045,mid,574,930.38
U-000046,smb,88,333.69
U-000047,smb,434,287.78
U-000048,large,393,1604.8
U-000049,large,488,163.52
U-000050,smb,32,138.18
U-000051,strategic,471,5704.49
U-000052,smb,326,301.76
U-000053,mid,384,728.65
U-000054,smb,544,121.96
U-000055,mid,458,445.86
U-000056,mid,278,617.1
U-000057,mid,49,577.08
U-000058,large,44,1664.47
U-000059,large,2,1464.21
U-000060,smb,305,339.67
U-000061,large,436,1271.21
U-000062,mid,296,672.94
U-000063,large,478,1316.05
U-000064,smb,36,315.54
U-000065,smb,381,192.55
U-000066,smb,165,292.1
U-000067,large,87,1563.74
U-000068,smb,493,296.17
U-000069,mid,517,456.61
U-000070,smb,486,135.91
U-000071,large,5,1138.36
U-000072,smb,597,324.48
U-000073,large,505,1432.89
U-000074,mid,528,340.73
U-000075,smb,242,256.03
U-000076,smb,106,86.93
U-000077,smb,108,131.47
U-000078,mid,307,686.24
U-000079,smb,144,201.62
U-000080,mid,86,662.46
U-000081,smb,150,169.98
U-000082,mid,169,509.41
U-000083,mid,230,714.05
U-000084,large,72,2084.36
U-000085,smb,163,301.07
U-000086,mid,401,812.07
U-000087,smb,288,296.76
U-000088,large,240,1480.5
U-000089,mid,12,785.24
U-000090,smb,248,177.28
U-000091,smb,396,286.98
U-000092,smb,486,253.63
U-000093,smb,590,223.1
U-000094,mid,457,644.15
U-000095,smb,443,288.84
U-000096,smb,378,317.18
U-000097,mid,151,524.57
U-000098,smb,379,221.22
U-000099,smb,86,201.78
U-000100,smb,3,223.41
U-000101,smb,485,335.8
U-000102,mid,454,591.53
U-000103,smb,362,318.84
U-000104,mid,392,555.93
U-000105,smb,577,278.78
