session_id,region,plan,satisfaction,temp_c,latency_ms,page_views,session_minutes,bytes_sent_kb,converted
NM-000001,eu-west,free,5,19.51,141.2,5,7.25,0.0,0
NM-000002,us-west,free,3,20.1,121.9,4,10.33,426.68,0
NM-000003,us-west,free,2,21.48,82.3,10,21.81,1247.84,0
NM-000004,ap-south,free,3,22.31,71.1,5,16.84,1166.85,0
NM-000005,eu-west,enterprise,2,19.91,99.6,11,16.57,901.2,1
NM-000006,us-east,free,1,19.16,124.3,5,6.2,0.0,0
NM-000007,us-west,pro,3,21.87,61.9,8,5.72,121.04,1
NM-000008,us-east,free,3,20.7,200.4,6,8.35,370.51,0
NM-000009,us-west,pro,2,20.83,110.5,9,9.63,381.77,0
NM-000010,eu-west,pro,4,20.72,108.3,7,4.88,193.36,0
NM-000011,us-west,basic,5,23.22,107.0,8,10.28,192.8,0
NM-000012,eu-west,enterprise,4,21.73,120.0,6,2.62,0.0,0
NM-000013,eu-west,free,3,22.1,62.8,10,5.66,0.0,1
NM-000014,us-east,free,3,22.64,98.5,7,4.85,552.3,0
NM-000015,ap-south,pro,3,20.85,121.7,13,8.24,277.54,0
NM-000016,eu-west,free,2,20.62,41.0,4,7.28,514.62,0
NM-000017,eu-west,pro,5,22.17,107.7,5,10.62,580.94,0
NM-000018,eu-west,free,1,21.17,86.0,10,15.53,651.46,0
NM-000019,eu-west,free,4,19.81,47.2,11,5.65,96.49,0
NM-000020,sa-east,free,3,23.24,31.7,8,36.79,1716.16,0
NM-000021,us-east,free,4,24.54,58.1,5,39.83,1672.03,0
NM-000022,sa-east,pro,3,20.16,44.3,7,10.59,367.61,0
NM-000023,ap-south,free,5,22.76,73.7,7,11.95,548.11,1
NM-000024,eu-west,free,5,19.51,70.0,6,13.06,816.9,0
NM-000025,eu-west,basic,3,20.41,62.1,7,9.48,585.32,0
NM-000026,eu-west,free,3,23.39,25.8,8,7.09,274.11,0
NM-000027,eu-west,pro,4,20.86,56.0,6,3.87,292.76,1
NM-000028,us-west,free,4,19.97,52.5,4,10.32,413.81,0
NM-000029,eu-west,free,3,21.64,56.2,13,7.87,0.0,0
NM-000030,eu-west,free,4,19.22,60.2,6,9.99,333.81,0
NM-000031,sa-east,pro,1,22.98,78.2,4,12.94,0.0,0
NM-000032,ap-south,pro,4,24.09,55.2,8,16.53,1161.19,0
NM-000033,ap-south,free,4,23.11,140.2,2,16.73,1081.0,0
NM-000034,eu-west,free,3,21.13,33.7,4,7.78,768.05,0
NM-000035,us-west,free,5,19.54,116.0,10,7.66,52.18,0
NM-000036,us-east,basic,5,21.09,26.1,12,8.76,476.32,0
NM-000037,eu-west,free,5,20.47,103.8,4,2.63,326.19,0
NM-000038,us-east,free,4,20.1,273.8,4,8.88,0.0,0
NM-000039,sa-east,basic,4,21.16,76.9,10,6.49,223.25,0
NM-000040,ap-south,enterprise,4,20.42,71.6,9,4.77,311.95,1
NM-000041,us-east,basic,3,23.36,86.2,9,3.93,71.8,0
NM-000042,us-east,free,4,19.75,122.6,12,10.59,352.59,0
NM-000043,ap-south,basic,4,19.93,105.4,8,23.26,1007.33,0
NM-000044,eu-west,free,4,18.79,59.9,4,14.19,358.0,0
NM-000045,eu-west,free,3,19.96,52.5,10,27.13,841.39,0
NM-000046,us-west,free,4,22.53,80.1,5,12.1,593.98,0
NM-000047,eu-west,enterprise,5,23.36,44.1,8,10.15,466.8,0
NM-000048,sa-east,free,3,20.25,28.5,10,13.63,245.89,0
NM-000049,us-west,basic,2,15.56,117.2,11,11.66,288.27,0
NM-000050,us-east,free,3,20.6,148.3,9,13.65,503.29,0
NM-000051,sa-east,basic,2,22.12,70.0,11,21.73,519.1,0
NM-000052,us-west,basic,1,23.68,62.5,4,16.52,1139.08,0
NM-000053,us-east,pro,2,19.84,111.8,12,2.24,270.98,0
NM-000054,us-west,free,3,22.59,106.3,8,21.3,1203.62,0
NM-000055,eu-west,basic,4,22.84,58.4,12,7.97,75.91,0
NM-000056,us-east,basic,3,20.24,24.0,2,12.58,879.16,0
NM-000057,us-west,pro,3,20.75,31.3,6,6.25,130.31,0
NM-000058,eu-west,basic,2,18.85,46.5,6,19.29,455.08,0
NM-000059,us-east,enterprise,4,22.17,56.3,9,4.93,501.96,0
NM-000060,eu-west,basic,3,19.71,37.3,12,48.15,1758.8,0
NM-000061,us-west,basic,3,16.83,140.4,5,14.19,518.71,0
NM-000062,ap-south,basic,5,20.9,87.4,8,1.57,178.45,0
NM-000063,eu-west,free,2,19.47,43.2,6,11.84,667.5,0
NM-000064,ap-south,free,5,22.39,77.1,8,36.46,2144.77,0
NM-000065,us-east,pro,4,18.81,70.3,7,28.86,1599.85,0
NM-000066,sa-east,free,5,24.7,52.6,6,9.04,0.0,0
NM-000067,ap-south,free,5,21.65,35.3,8,2.33,0.0,0
NM-000068,us-east,basic,4,22.61,38.7,9,22.73,827.08,0
NM-000069,eu-west,free,5,23.12,67.9,8,3.54,195.74,0
NM-000070,us-west,basic,3,21.63,69.1,4,18.36,693.54,0
NM-000071,ap-south,free,4,20.55,69.7,9,3.09,109.97,0
NM-000072,eu-west,free,3,18.2,36.9,6,10.87,0.0,0
NM-000073,sa-east,free,3,20.21,81.8,12,11.09,826.99,0
NM-000074,us-east,basic,5,18.26,42.3,10,7.69,197.72,0
NM-000075,us-east,free,4,20.52,116.5,4,10.49,142.62,0
NM-000076,sa-east,free,4,23.95,156.8,8,8.13,242.34,0
NM-000077,ap-south,free,3,19.5,78.0,6,2.42,141.51,0
NM-000078,eu-west,free,5,21.42,57.5,6,7.08,239.45,0
NM-000079,eu-west,pro,4,19.41,63.1,9,16.03,295.15,0
NM-000080,us-east,free,5,20.17,178.3,8,7.45,654.52,0
NM-000081,us-east,free,4,22.57,70.0,12,19.31,750.41,0
NM-000082,us-east,basic,3,22.36,41.8,10,20.92,738.65,0
NM-000083,us-east,basic,4,20.1,106.4,7,2.72,105.17,0
NM-000084,us-east,free,4,19.76,26.5,11,16.42,744.81,0
NM-000085,eu-west,free,5,22.13,63.5,3,12.42,673.35,0
NM-000086,eu-west,pro,4,21.11,46.0,6,4.27,680.45,0
NM-000087,eu-west,free,4,18.91,51.0,10,6.5,0.0,0
NM-000088,eu-west,pro,4,21.57,69.6,8,14.5,603.4,0
NM-000089,eu-west,enterprise,2,22.22,33.9,5,12.68,370.65,0
NM-000090,us-east,pro,5,20.6,118.5,9,2.42,67.81,0
NM-000091,us-west,basic,2,18.97,94.9,4,14.96,795.56,0
NM-000092,eu-west,free,4,22.32,68.6,10,4.62,363.42,0
NM-000093,eu-west,free,5,23.9,78.4,9,2.4,0.0,0
NM-000094,eu-west,basic,3,18.14,87.2,7,2.82,0.0,0
NM-000095,us-east,free,4,18.5,54.7,3,9.56,563.85,0
NM-000096,sa-east,basic,3,20.43,117.8,9,9.71,549.54,0
NM-000097,ap-south,pro,4,22.67,78.4,7,8.62,282.53,0
NM-000098,us-east,free,5,21.69,69.1,4,8.01,559.89,0
NM-000099,ap-south,pro,3,20.2,86.6,4,14.22,405.01,0
NM-000100,ap-south,free,4,19.7,24.8,13,4.12,0.0,0
NM-000101,ap-south,pro,5,20.0,69.1,4,36.24,1497.71,0
NM-000102,us-west,free,3,22.9,127.7,11,15.27,328.74,0
NM-000103,us-east,pro,2,20.32,89.8,3,18.62,463.52,0
NM-000104,eu-west,free,5,19.64,48.8,5,6.36,328.87,0
NM-000105,us-west,free,3,20.62,70.6,5,16.35,1292.93,0
NM-000106,us-west,free,4,24.82,78.4,13,7.98,462.55,0
NM-000107,eu-west,free,3,24.92,48.6,3,8.86,855.79,0
NM-000108,us-west,pro,5,19.68,48.8,10,5.02,255.99,0
NM-000109,eu-west,basic,4,19.04,49.8,6,6.21,295.17,0
NM-000110,sa-east,basic,5,23.89,122.6,10,19.58,470.32,0
NM-000111,eu-west,enterprise,4,22.02,32.2,13,3.05,500.82,1
NM-000112,us-west,free,3,20.32,64.6,9,2.53,308.12,0
NM-000113,ap-south,free,5,18.3,117.2,6,24.02,1530.94,0
NM-000114,us-west,free,3,18.62,72.6,7,8.81,837.88,0
NM-000115,eu-west,basic,4,21.92,103.3,4,3.34,241.54,0
NM-000116,us-east,free,1,22.41,115.6,4,7.04,550.51,0
NM-000117,us-east,free,3,20.13,69.7,11,14.13,384.01,0
NM-000118,ap-south,free,2,17.93,150.2,4,3.3,240.84,0
NM-000119,us-west,pro,3,18.14,74.3,6,27.97,1015.87,1
NM-000120,ap-south,free,5,19.07,34.4,3,12.27,386.35,0
NM-000121,ap-south,free,3,21.39,159.2,7,10.32,669.82,0
NM-000122,eu-west,basic,4,22.28,169.1,3,5.46,189.52,0
NM-000123,us-east,free,5,20.53,38.4,5,8.88,690.07,0
NM-000124,us-east,basic,3,18.87,1575.2,4,3.8,0.0,0
NM-000125,us-east,free,2,22.43,61.3,9,12.59,331.03,0
NM-000126,us-west,enterprise,3,16.74,257.7,5,11.02,468.59,0
NM-000127,us-west,pro,5,19.7,105.8,14,8.19,907.65,0
NM-000128,ap-south,basic,5,24.54,46.7,7,17.97,1056.61,0
NM-000129,ap-south,free,4,22.72,16.3,3,12.47,668.06,0
NM-000130,us-east,free,3,21.47,70.7,6,10.02,287.75,0
NM-000131,us-east,free,3,19.67,59.1,4,37.43,1414.13,0
NM-000132,eu-west,pro,4,19.65,67.2,7,3.02,282.16,0
NM-000133,us-west,pro,1,17.25,74.9,7,17.73,837.35,0
NM-000134,eu-west,free,4,21.17,26.0,4,11.37,623.29,0
NM-000135,ap-south,basic,4,25.34,76.2,6,12.22,92.0,0
NM-000136,ap-south,free,4,22.08,60.1,13,14.19,455.48,0
