x,y,group
-0.551966,0.59736,ring
-0.702432,-0.730693,ring
0.918387,-0.385016,ring
-0.998893,0.308901,ring
0.384382,-0.925301,ring
0.033943,-1.028648,ring
-0.460205,0.874732,ring
-0.069485,0.997413,ring
1.053261,-0.250124,ring
0.621327,0.778583,ring
-1.03783,0.115795,ring
-0.446968,0.90043,ring
0.113633,-1.02129,ring
-0.7772,-0.634112,ring
0.014913,-1.003183,ring
0.949717,0.050748,ring
1.023178,0.033149,ring
-0.74854,0.713169,ring
-1.040406,0.013338,ring
-0.761274,0.50062,ring
-0.099345,-0.999602,ring
0.132555,-0.982826,ring
-0.981454,0.453358,ring
-0.982058,0.170997,ring
-0.135722,-0.941948,ring
-0.248399,0.953487,ring
0.788566,-0.498915,ring
0.891171,0.493162,ring
0.986248,-0.331275,ring
-0.069664,1.002768,ring
0.882742,-0.344803,ring
-0.05968,-0.95825,ring
-0.512756,-0.844847,ring
-0.929409,-0.229569,ring
-0.417358,0.808477,ring
0.583037,-0.788697,ring
1.081219,0.243813,ring
-0.283261,0.945322,ring
1.011958,-0.194928,ring
0.903919,-0.65827,ring
-0.71451,0.725705,ring
-0.875533,0.496904,ring
-0.418037,0.90034,ring
-0.56101,0.771672,ring
-0.993426,0.019301,ring
-0.192673,-1.037141,ring
-0.29831,1.008961,ring
0.044614,0.902475,ring
-0.679232,0.796669,ring
-0.200296,-0.967307,ring
-0.943392,-0.399274,ring
-0.264086,-0.921266,ring
0.787648,-0.666062,ring
-0.873057,0.047333,ring
0.133847,1.036616,ring
-0.8941,-0.214616,ring
0.639227,0.757874,ring
-0.961906,0.281282,ring
-0.656168,-0.731635,ring
0.49451,-0.847036,ring
0.857156,-0.425352,ring
-0.88384,0.461656,ring
-0.889612,-0.504753,ring
-0.639574,-0.746761,ring
0.702971,-0.678872,ring
-0.44354,0.832555,ring
-0.889256,0.421341,ring
-0.193376,-0.949323,ring
-0.487906,0.914548,ring
-0.200486,0.964674,ring
-0.906134,0.435495,ring
-0.079466,-1.017205,ring
0.7249,-0.662798,ring
0.845251,0.498049,ring
-0.932809,0.378515,ring
-0.018054,0.960186,ring
0.157042,-0.967064,ring
-1.014682,-0.094287,ring
0.992093,0.205315,ring
-0.020102,1.037807,ring
-0.668756,-0.670888,ring
0.657562,0.693245,ring
-0.44589,-0.845441,ring
0.692231,0.66317,ring
0.960906,0.275724,ring
0.442982,-0.923531,ring
-0.371982,-0.941508,ring
0.91358,0.334061,ring
-0.518977,-0.728164,ring
0.895918,0.599467,ring
-0.990108,-0.063874,ring
0.168634,0.998843,ring
-0.396531,-0.998634,ring
-0.826804,0.613069,ring
0.880854,-0.14414,ring
-0.74944,0.579534,ring
-0.873815,0.207106,ring
1.032829,0.003388,ring
-0.955139,0.34019,ring
0.86604,-0.508841,ring
0.171216,0.953718,ring
0.474955,-0.849594,ring
-0.905842,0.509771,ring
-0.796738,0.613518,ring
0.967974,0.066687,ring
-0.674954,0.617751,ring
0.477541,-0.863575,ring
0.514256,0.824652,ring
-0.948792,0.180098,ring
-0.318522,1.015294,ring
0.483624,0.834631,ring
0.914842,0.196797,ring
