unit_id,region,stratum,cluster,satisfaction,office_temp_c,spend
1,eu-west,smb,81,4,19.83,285.69
2,us-east,smb,282,2,20.39,431.2
3,us-west,smb,175,1,21.25,274.88
4,us-east,smb,583,3,20.91,259.08
5,ap-south,smb,581,1,23.34,205.38
6,us-east,mid,256,3,18.42,593.22
7,eu-west,smb,184,5,21.41,248.55
8,us-east,smb,328,3,22.28,207.92
9,eu-west,smb,531,3,18.6,156.93
10,us-east,smb,114,3,20.01,131.78
11,ap-south,mid,477,4,21.4,702.4
12,us-west,mid,455,4,23.54,455.58
13,us-east,mid,147,5,20.35,619.22
14,ap-south,smb,410,3,20.01,251.0
15,us-east,smb,125,2,20.19,222.17
16,us-east,mid,50,4,19.75,516.26
17,ap-south,smb,563,3,22.19,228.56
18,sa-east,smb,239,5,24.63,183.12
19,ap-south,large,66,2,19.81,1365.64
20,us-west,smb,66,3,22.56,241.45
21,us-east,mid,540,4,21.15,666.06
22,us-west,smb,54,3,21.73,249.85
23,eu-west,mid,166,5,20.0,745.72
24,sa-east,mid,365,5,22.86,589.51
25,us-east,smb,593,1,18.1,253.94
26,us-east,large,526,4,25.41,1235.25
27,us-east,mid,275,1,23.25,423.17
28,us-east,mid,2,2,20.69,439.52
29,eu-west,large,202,5,19.3,1703.36
30,ap-south,smb,184,4,21.17,263.74
31,us-east,smb,596,5,22.58,309.64
32,sa-east,large,262,4,21.29,1333.31
33,us-west,mid,571,2,19.67,776.7
34,eu-west,large,321,4,21.53,1197.52
35,sa-east,smb,471,2,19.66,268.51
36,us-east,smb,501,3,19.04,288.3
37,eu-west,smb,128,4,22.31,247.08
38,us-east,large,232,3,22.23,1036.69
39,ap-south,large,399,4,21.15,875.43
40,sa-east,mid,489,3,18.96,587.02
41,us-west,large,38,4,19.36,1881.22
42,us-west,mid,32,2,20.65,611.87
43,us-east,smb,392,5,19.54,265.83
44,us-east,smb,339,3,20.74,265.86
45,us-east,mid,574,4,20.27,930.38
46,sa-east,smb,88,2,20.04,333.69
47,eu-west,smb,434,4,20.55,287.78
48,ap-south,large,393,4,25.68,1604.8
49,us-west,large,488,5,22.73,163.52
50,eu-west,smb,32,1,22.86,138.18
51,eu-west,strategic,471,2,22.01,5704.49
52,ap-south,smb,326,4,20.59,301.76
53,us-east,mid,384,3,22.68,728.65
54,us-west,smb,544,3,19.6,121.96
55,us-east,mid,458,5,21.49,445.86
56,us-east,mid,278,4,19.74,617.1
57,sa-east,mid,49,4,21.32,577.08
58,eu-west,large,44,2,22.14,1664.47
59,ap-south,large,2,3,22.12,1464.21
60,ap-south,smb,305,2,18.63,339.67
61,eu-west,large,436,2,22.97,1271.21
62,eu-west,mid,296,3,21.79,672.94
63,ap-south,large,478,4,20.68,1316.05
64,us-west,smb,36,3,22.8,315.54
65,ap-south,smb,381,3,19.09,192.55
66,sa-east,smb,165,4,26.93,292.1
67,us-east,large,87,2,19.36,1563.74
68,us-east,smb,493,4,19.37,296.17
69,eu-west,mid,517,5,21.12,456.61
70,eu-west,smb,486,5,22.35,135.91
71,us-west,large,5,4,23.02,1138.36
72,us-east,smb,597,5,23.18,324.48
73,eu-west,large,505,2,20.54,1432.89
74,ap-south,mid,528,2,22.03,340.73
75,sa-east,smb,242,4,19.39,256.03
76,us-east,smb,106,2,20.45,86.93
77,us-east,smb,108,3,22.53,131.47
78,us-east,mid,307,5,20.32,686.24
79,us-east,smb,144,5,21.99,201.62
80,eu-west,mid,86,4,18.82,662.46
81,ap-south,smb,150,3,22.8,169.98
82,us-east,mid,169,3,19.95,509.41
83,us-west,mid,230,4,20.97,714.05
84,us-east,large,72,4,23.91,2084.36
85,ap-south,smb,163,5,22.6,301.07
86,us-west,mid,401,3,19.59,812.07
87,us-west,smb,288,3,21.84,296.76
88,us-east,large,240,4,19.67,1480.5
89,ap-south,mid,12,4,19.27,785.24
90,us-west,smb,248,3,22.71,177.28
91,sa-east,smb,396,5,18.41,286.98
92,sa-east,smb,486,5,20.8,253.63
93,us-west,smb,590,4,23.74,223.1
94,us-west,mid,457,4,23.84,644.15
95,us-west,smb,443,4,21.45,288.84
96,us-east,smb,378,3,20.16,317.18
97,ap-south,mid,151,2,19.34,524.57
98,eu-west,smb,379,1,22.73,221.22
99,eu-west,smb,86,2,19.57,201.78
100,us-east,smb,3,4,19.01,223.41
101,us-east,smb,485,3,20.64,335.8
102,ap-south,mid,454,4,20.17,591.53
103,ap-south,smb,362,3,23.26,318.84
104,sa-east,mid,392,4,20.91,555.93
105,eu-west,smb,577,4,21.77,278.78
106,eu-west,smb,36,4,21.9,181.03
107,eu-west,large,288,4,22.09,636.65
108,us-west,large,157,4,23.29,976.66
109,us-east,mid,549,5,22.54,631.55
110,ap-south,mid,82,2,22.41,420.65
111,us-east,large,166,4,22.59,1606.48
112,us-west,smb,302,2,21.8,330.03
113,eu-west,smb,483,1,20.32,265.32
114,sa-east,smb,469,5,21.17,307.14
115,eu-west,large,90,4,21.89,1667.5
116,ap-south,smb,262,3,24.1,315.76
117,sa-east,mid,44,4,22.43,539.9
118,ap-south,strategic,556,5,23.58,2393.43
119,eu-west,smb,357,4,23.99,174.71
120,us-east,smb,458,4,21.5,0.0
121,us-east,large,514,5,22.36,1856.5
122,us-east,mid,446,4,20.91,551.55
123,us-east,smb,564,1,17.78,371.04
124,us-west,mid,231,4,18.24,668.69
125,us-east,mid,219,2,19.81,327.68
126,us-east,mid,405,2,22.71,775.76
127,us-east,smb,427,4,22.17,150.81
128,us-east,smb,347,4,21.27,213.55
129,us-east,mid,239,4,20.5,763.29
130,us-east,large,505,2,24.32,1727.78
131,eu-west,smb,242,1,19.23,186.31
132,eu-west,large,360,4,24.22,978.91
133,eu-west,smb,495,2,20.45,232.69
134,ap-south,smb,514,4,20.61,281.09
135,sa-east,smb,144,2,21.54,220.24
136,eu-west,smb,284,5,20.31,188.88
137,eu-west,mid,57,3,17.66,320.38
138,us-east,smb,133,4,23.17,226.74
