reading_id,vibration_x,vibration_y,acoustic_db,current_amp,humidity_pct,dust_index,temp_c,pressure_kpa,machine
1,3.3526,4.3481,-0.5627,0.1598,0.6961,0.7645,46.54,340.25,C
2,9.858,9.6173,2.3023,2.49,2.7885,2.7466,54.66,420.12,C
3,-3.1319,-3.2825,2.1694,2.2639,1.8286,1.8302,44.43,335.18,B
4,1.468,2.5707,4.1246,3.3715,4.6144,3.995,50.92,379.61,D
5,-1.4194,-1.7042,1.5691,1.113,-0.9539,-0.9163,39.55,317.08,C
6,-8.6415,-8.2866,0.9758,0.9461,1.1618,0.3076,34.6,268.5,B
7,2.2958,3.2945,-0.007,-1.3822,-0.146,0.7049,44.27,346.16,B
8,-6.208,-6.9639,-0.3566,0.9916,2.4722,1.0377,38.27,303.48,C
9,-2.8556,-2.1074,-3.5602,-3.3163,0.768,0.8512,36.1,270.18,C
10,11.6952,11.8962,6.4627,7.5896,3.2796,3.7772,61.83,488.23,C
11,1.8446,0.781,1.2652,-0.1581,-1.5379,-0.8341,42.62,313.02,C
12,1.1719,0.3931,1.2195,0.1823,-1.7746,-0.3933,44.45,283.62,C
13,2.2953,1.7855,1.0908,0.4194,-0.2932,0.5324,44.8,337.29,C
14,-3.6601,-5.9538,-8.4961,-7.6602,-2.0764,-2.3842,26.96,192.59,B
15,-2.9326,-2.7301,-2.8711,-1.8279,2.1562,0.3895,39.23,276.86,B
16,-11.5332,-11.4656,0.7968,2.3104,0.4778,1.5647,34.49,250.89,D
17,4.7312,3.3732,1.0713,1.2797,-0.7472,-0.1348,44.77,349.61,D
18,0.1077,0.3282,0.9109,-0.1568,-0.8395,0.2315,42.67,325.94,B
19,0.0237,0.0022,0.1122,-1.4742,0.9506,-0.0431,43.61,278.93,A
20,-10.8232,-10.8278,-5.2574,-3.5566,-0.5956,-1.3228,24.38,221.43,C
21,-2.1886,-1.8805,0.5233,0.4048,0.5273,0.1318,45.41,302.92,B
22,1.7918,1.1677,2.0224,2.3346,0.0791,-0.2289,44.31,337.75,C
23,-4.2591,-6.1245,-3.5005,-4.018,-3.9075,-2.6782,32.15,237.28,B
