session_id,session_seconds,pages_viewed,spend,screen_brightness,device,returning
1,202.6,5,14.35,4.8,mobile,True
2,73.1,4,0.0,79.2,desktop,False
3,93.3,3,0.0,10.2,desktop,False
4,688.2,15,78.64,48.0,desktop,True
5,114.7,5,0.0,86.8,desktop,False
6,663.4,16,0.0,14.6,mobile,False
7,42.3,1,1.38,46.8,desktop,False
8,327.6,7,47.69,13.4,mobile,True
9,506.3,12,0.0,7.6,mobile,True
10,139.9,2,0.0,75.0,mobile,True
11,288.7,6,47.85,80.6,tablet,False
12,1380.9,30,158.79,46.7,desktop,False
13,68.4,1,0.0,21.5,mobile,True
14,204.3,3,0.0,74.2,mobile,True
15,49.8,2,2.17,87.2,mobile,False
16,19.1,1,0.0,0.3,desktop,True
17,293.1,9,28.39,43.3,mobile,False
18,135.6,1,0.0,29.5,mobile,False
19,165.4,3,0.0,95.1,desktop,False
20,63.9,2,0.0,3.6,tablet,True
21,137.8,4,0.0,60.3,mobile,True
22,22.8,1,3.14,28.1,mobile,False
23,278.6,8,0.0,49.9,mobile,True
24,301.4,7,0.0,95.0,mobile,False
25,65.0,3,2.41,45.9,mobile,False
26,21.1,1,0.0,8.4,mobile,True
27,238.7,6,22.51,34.4,mobile,False
28,779.7,15,70.31,43.1,desktop,False
29,1022.7,23,0.0,72.2,mobile,False
30,308.8,7,0.0,91.7,desktop,True
31,142.3,3,0.0,93.3,mobile,True
32,101.8,3,0.0,89.7,mobile,False
33,23.2,1,0.0,74.7,tablet,True
34,115.6,2,0.0,48.0,mobile,False
35,134.4,3,0.0,16.8,mobile,True
36,19.2,2,0.0,92.0,mobile,True
37,152.4,3,0.0,59.2,mobile,False
38,115.1,2,0.0,15.4,desktop,True
39,43.6,1,0.0,83.6,desktop,True
40,42.8,1,0.0,65.0,mobile,False
41,7.0,1,0.0,31.5,desktop,False
42,64.5,4,0.0,66.3,desktop,True
43,65.8,1,4.5,9.6,mobile,False
44,45.3,2,0.0,33.7,tablet,True
45,251.8,5,0.0,48.3,mobile,False
46,8.6,1,0.0,1.0,mobile,False
47,422.9,7,0.0,45.9,tablet,False
48,179.5,5,0.0,33.3,mobile,False
49,225.2,5,0.0,87.6,mobile,False
50,120.0,1,0.0,86.6,mobile,True
51,56.2,1,11.35,23.7,mobile,False
52,108.2,4,4.62,96.1,desktop,True
53,143.5,3,0.0,31.8,mobile,True
