sample_id,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
1,0.251986,0.399873,0.475648,0.571515,0.644971,0.596980,0.564947,0.520569,0.511599,0.440228,0.389634,0.367622,0.291709,0.226825,0.195636,0.180911,0.180275,0.247058,0.258690,0.278348,0.249866,0.138002,0.076162,0.026770
2,0.197406,0.315892,0.380380,0.484901,0.535930,0.559367,0.563491,0.720160,0.770307,0.801705,0.728990,0.617196,0.527046,0.335890,0.243768,0.196050,0.154037,0.165689,0.237138,0.191081,0.153652,0.081413,0.053995,0.074217
3,0.359697,0.532783,0.679722,0.837195,0.886345,0.906791,0.823865,0.738776,0.700163,0.602432,0.565779,0.482931,0.422421,0.345269,0.278321,0.230042,0.261157,0.322815,0.364907,0.376580,0.305085,0.204681,0.126217,0.059069
4,0.153409,0.212203,0.301816,0.337647,0.378862,0.448778,0.434814,0.488313,0.508867,0.543348,0.445739,0.408870,0.341716,0.275280,0.192195,0.133981,0.105335,0.114914,0.082798,0.102925,0.052430,0.084095,0.017007,0.036883
5,0.272530,0.391297,0.563779,0.620084,0.711573,0.744144,0.670995,0.634981,0.598505,0.551669,0.486678,0.440904,0.372780,0.293023,0.277751,0.225996,0.176589,0.153333,0.123795,0.145247,0.093598,0.051151,-0.004166,0.027384
6,0.191576,0.302819,0.405586,0.507911,0.528038,0.530642,0.453970,0.457108,0.392843,0.349919,0.350081,0.335537,0.292121,0.273340,0.247042,0.266979,0.217374,0.232497,0.266492,0.235299,0.163505,0.156034,0.064265,-0.004052
7,0.156440,0.220122,0.298296,0.337691,0.374911,0.371621,0.348000,0.370879,0.283542,0.315233,0.334867,0.282968,0.251442,0.250456,0.252189,0.246843,0.237093,0.276973,0.286169,0.300151,0.237887,0.153532,0.076757,0.057930
8,0.467938,0.720565,0.930817,1.140350,1.215629,1.234978,1.160294,1.021509,0.878054,0.812605,0.692691,0.607686,0.446449,0.311460,0.266839,0.204288,0.191184,0.184997,0.175810,0.156383,0.113538,0.087239,0.018476,0.037828
9,0.087486,0.140080,0.205060,0.234513,0.241202,0.319370,0.305713,0.360705,0.367946,0.439730,0.424770,0.369963,0.337429,0.283740,0.238612,0.231101,0.178602,0.136174,0.112776,0.112577,0.064447,0.081174,-0.002060,0.003380
10,0.210109,0.312382,0.421817,0.514230,0.528864,0.519487,0.541272,0.517946,0.496569,0.451042,0.424507,0.370419,0.272192,0.261200,0.143344,0.133924,0.102801,0.100070,0.098810,0.127767,0.060554,0.070880,0.056162,0.016836
11,0.075970,0.100255,0.127248,0.137678,0.176209,0.185220,0.196624,0.256744,0.302091,0.340592,0.330385,0.264976,0.286753,0.201558,0.128510,0.173948,0.139699,0.119415,0.145653,0.090779,0.088894,0.069463,-0.007439,0.034272
12,0.236170,0.391765,0.505392,0.583137,0.656413,0.672291,0.572552,0.500450,0.430718,0.361529,0.306173,0.272817,0.306178,0.319628,0.265898,0.262456,0.295431,0.267728,0.240583,0.185451,0.173747,0.129412,0.050339,0.029082
13,0.235329,0.369573,0.561434,0.590196,0.614172,0.650457,0.620306,0.582793,0.516268,0.492384,0.449316,0.368906,0.263386,0.227528,0.143472,0.135605,0.120353,0.137187,0.185793,0.183702,0.096475,0.074917,0.020894,0.043493
14,0.193157,0.284126,0.420447,0.513206,0.487855,0.546077,0.495168,0.436208,0.422893,0.415368,0.383496,0.306007,0.286906,0.250909,0.197843,0.184393,0.192478,0.135932,0.144654,0.125761,0.115406,0.072045,0.055360,0.025282
15,0.290778,0.441321,0.524055,0.649222,0.704078,0.690780,0.586496,0.478564,0.370675,0.286700,0.260391,0.218876,0.178052,0.148823,0.132326,0.093695,0.103129,0.129439,0.145354,0.157929,0.097453,0.110234,0.066676,0.000415
16,0.164984,0.213412,0.304161,0.390946,0.422816,0.407091,0.402858,0.415541,0.450724,0.447873,0.450113,0.376018,0.324252,0.284627,0.229303,0.180042,0.157394,0.159680,0.159213,0.155553,0.104818,0.088333,0.041125,0.025662
17,0.269785,0.397919,0.524017,0.642889,0.700355,0.666633,0.579729,0.536878,0.432421,0.369798,0.354657,0.251423,0.206278,0.183149,0.139492,0.118974,0.110176,0.121270,0.110519,0.079026,0.054384,0.041297,0.061659,-0.019108
18,0.089766,0.109076,0.157123,0.178425,0.219232,0.191158,0.197081,0.251807,0.216768,0.274825,0.265566,0.235168,0.235299,0.190376,0.117672,0.152533,0.138405,0.197426,0.111984,0.121344,0.092586,0.059948,0.043851,-0.015027
19,0.109203,0.136094,0.167800,0.221817,0.268427,0.312672,0.333377,0.385951,0.413387,0.496003,0.477270,0.453379,0.401391,0.334094,0.273448,0.293217,0.189022,0.190116,0.177228,0.184965,0.150273,0.062435,0.028084,0.010158
20,0.108649,0.116162,0.154141,0.231044,0.233478,0.300765,0.350044,0.431408,0.479713,0.544728,0.511892,0.443649,0.324376,0.249968,0.182322,0.121300,0.123142,0.116711,0.160529,0.116641,0.123114,0.091534,0.040066,-0.011746
21,0.156131,0.213073,0.254192,0.361601,0.363511,0.370646,0.385624,0.337373,0.365627,0.366277,0.304787,0.259735,0.220468,0.161447,0.153669,0.133548,0.115576,0.098739,0.079864,0.087485,0.078080,0.044794,0.019532,0.051295
22,0.148854,0.203780,0.231835,0.292501,0.356365,0.332550,0.361319,0.341360,0.432846,0.435819,0.376431,0.342541,0.371363,0.246219,0.231503,0.206697,0.158051,0.179648,0.193032,0.155214,0.127247,0.080957,0.037163,0.020241
23,0.372615,0.522354,0.694492,0.813912,0.888347,0.859029,0.793357,0.613618,0.542557,0.445541,0.382570,0.284247,0.235011,0.212547,0.151945,0.187520,0.177343,0.150245,0.148064,0.125356,0.106482,0.066815,0.065391,0.012807
