ticket_id,customer_id,row_split,label,n_tokens,first_response_seconds,score_urgent,logit_urgent,logit_normal,logit_spam,tokens
1,198,train,normal,64,2036.02,0.08753,-0.3859,2.5795,-2.1059,typo question thanks cannot suggestion charge account account account nice account account cannot account update wondering click billing question minor click account question cannot click account account account refund cosmetic question curious wondering account someday please cosmetic order thanks cannot typo account billing billing wondering nice wondering account whenever help documentation billing login wondering minor documentation curious question whenever curious help click wondering suggestion
2,566,train,urgent,8,1183.2,0.70016,2.9503,-0.4993,-1.6036,failing escalate billing escalate escalate escalate loss data
3,769,train,urgent,21,931.52,0.54059,1.9784,-0.0641,-1.0918,account escalate revenue revenue charge error revenue customers critical account down password account urgent page critical help revenue billing account cannot
4,197,val,normal,31,728.54,0.45193,0.5381,1.7038,-3.411,suggestion billing page order minor charge account billing cosmetic thanks documentation wondering whenever account charge feedback account documentation feedback curious whenever cannot invoice feedback account cannot nice question suggestion account suggestion
5,5,val,urgent,22,1632.63,0.46225,3.1222,-0.8906,-0.8686,account customers production critical customers cannot critical outage account loss critical failing account down data charge production revenue urgent account down charge
6,755,train,urgent,42,520.2,0.76926,2.6593,0.0802,-1.5906,password password customers account outage down urgent loss account cannot blocked outage urgent escalate loss loss account blocked down breach outage breach critical screen urgent blocked revenue failing production account loss outage invoice critical critical account data breach failing customers charge account
7,661,val,urgent,30,138.87,0.97306,2.6579,0.1041,-1.6153,critical revenue customers outage down urgent escalate critical breach billing payment failing down charge outage account urgent down data critical production please cannot payment escalate loss data error account failing
8,247,train,normal,25,354.46,0.10911,-1.4951,2.1265,-1.3699,question minor wondering billing error account billing click question documentation curious billing suggestion account documentation documentation billing billing billing someday question feedback account minor wondering
9,167,train,normal,34,1036.93,0.20844,-0.7746,1.6369,-1.7474,cannot whenever account billing please thanks question invoice click account order question question documentation someday cosmetic cannot curious help account account help account click account suggestion nice suggestion wondering minor nice question cannot nice
10,258,test,urgent,55,348.61,0.76912,0.7064,0.6019,-2.7486,billing page down blocked outage escalate customers failing down account urgent billing data account data billing breach reset support help escalate account data urgent billing breach revenue revenue update down loss loss billing breach account critical cannot urgent data invoice reset loss urgent billing data reset outage down please account outage help customers breach customers
11,652,train,urgent,19,421.58,0.78565,1.3544,-0.3061,-3.0378,urgent click revenue billing billing outage breach page screen revenue charge page account escalate critical account help click login
12,106,train,normal,31,839.81,0.3273,-0.7397,1.9866,-2.2541,curious error nice documentation curious account billing payment minor password documentation cosmetic invoice help account cannot documentation account password billing question update account feedback nice feedback login typo question question minor
13,61,train,normal,90,315.6,0.21229,-1.3147,1.4492,0.9589,click cosmetic someday feedback curious someday whenever nice feedback billing charge curious cannot wondering feedback nice feedback error curious suggestion whenever suggestion billing cosmetic click account minor cosmetic order account nice account whenever billing billing account question wondering thanks invoice support please minor cosmetic account whenever click wondering billing minor password typo feedback wondering billing question cosmetic suggestion billing help account billing nice suggestion thanks account someday support wondering someday typo minor documentation question cosmetic curious wondering curious update feedback click minor invoice account minor someday minor billing suggestion account
14,77,train,normal,10,21.03,0.13444,-0.4933,2.1866,-2.8365,documentation cosmetic error whenever feedback wondering typo question invoice documentation
15,924,train,normal,8,1334.92,0.53011,-0.7571,3.0454,-1.7855,wondering documentation click help someday someday account error
16,214,test,urgent,112,721.72,0.83819,2.6636,-0.6248,-2.7269,login blocked customers failing failing production page customers billing billing account critical blocked invoice page billing customers escalate billing customers billing down data customers breach production account down customers production account loss down blocked blocked customers outage critical loss loss critical account outage click breach password blocked revenue critical breach billing revenue data breach account customers billing outage screen failing breach failing breach production please urgent login account outage billing breach account production loss escalate failing urgent page account invoice urgent outage charge outage customers account error down loss production account account urgent invoice account cannot production down billing escalate breach cannot suggestion click critical breach blocked account escalate critical customers down
