# page: ai-software-developer-course/lessons/0400-one-file-two-readers.html
# viewport: 1280x900 at device pixel ratio 1
# base: paper light in full; every other row lists only what moved from it

axis | paper light | line.axis | color=rgb(26, 26, 24); fill=none; stroke=rgb(99, 99, 91); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=center; display=inline; min-height=0px
axis | paper dark | line.axis | color=rgb(234, 230, 218); stroke=rgb(154, 148, 134)
axis | slate light | line.axis | color=rgb(20, 23, 28); stroke=rgb(95, 103, 116)
axis | slate dark | line.axis | color=rgb(230, 234, 241); stroke=rgb(138, 146, 160)
axis | ink light | line.axis | color=rgb(13, 13, 13); stroke=rgb(88, 88, 88)
axis | ink dark | line.axis | color=rgb(245, 245, 245); stroke=rgb(154, 154, 154)
axis | sage light | line.axis | color=rgb(22, 26, 19); stroke=rgb(94, 101, 87)
axis | sage dark | line.axis | color=rgb(228, 234, 217); stroke=rgb(139, 148, 126)
axis | harbor light | line.axis | color=rgb(17, 24, 32); stroke=rgb(90, 102, 112)
axis | harbor dark | line.axis | color=rgb(223, 232, 237); stroke=rgb(131, 145, 155)
axis | aubergine light | line.axis | color=rgb(25, 19, 25); stroke=rgb(101, 92, 101)
axis | aubergine dark | line.axis | color=rgb(235, 226, 234); stroke=rgb(148, 135, 152)
axis | press light | line.axis | color=rgb(28, 26, 23); stroke=rgb(107, 97, 84)
axis | press dark | line.axis | color=rgb(237, 228, 211); stroke=rgb(151, 141, 123)
build-controls | paper light | div.build-controls | color=rgb(26, 26, 24); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=left; display=flex; min-height=0px; padding-top=13.6px; padding-right=1.6px; padding-left=1.6px; column-gap=17.6px; row-gap=8px; align-items=center
build-controls | paper dark | div.build-controls | color=rgb(234, 230, 218)
build-controls | slate light | div.build-controls | color=rgb(20, 23, 28)
build-controls | slate dark | div.build-controls | color=rgb(230, 234, 241)
build-controls | ink light | div.build-controls | color=rgb(13, 13, 13)
build-controls | ink dark | div.build-controls | color=rgb(245, 245, 245)
build-controls | sage light | div.build-controls | color=rgb(22, 26, 19)
build-controls | sage dark | div.build-controls | color=rgb(228, 234, 217)
build-controls | harbor light | div.build-controls | color=rgb(17, 24, 32)
build-controls | harbor dark | div.build-controls | color=rgb(223, 232, 237)
build-controls | aubergine light | div.build-controls | color=rgb(25, 19, 25)
build-controls | aubergine dark | div.build-controls | color=rgb(235, 226, 234)
build-controls | press light | div.build-controls | color=rgb(28, 26, 23)
build-controls | press dark | div.build-controls | color=rgb(237, 228, 211)
build-readout | paper light | div.build-readout | color=rgb(74, 74, 68); background-color=rgb(253, 252, 248); border-top-color=color(srgb 0.547059 0.545098 0.533333); border-right-color=color(srgb 0.547059 0.545098 0.533333); border-bottom-color=color(srgb 0.547059 0.545098 0.533333); border-left-color=color(srgb 0.547059 0.545098 0.533333); font-family="JetBrains Mono", ui-monospace, "SF Mono", SFMono-Regular, Menlo, Consolas, "Liberation Mono", monospace; font-size=12.8px; font-weight=400; line-height=22.016px; text-align=left; display=flex; min-height=0px; margin-top=14px; padding-top=9.6px; padding-right=13.6px; padding-bottom=9.6px; padding-left=13.6px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=dashed; border-right-style=dashed; border-bottom-style=dashed; border-left-style=dashed; border-top-left-radius=8px; border-top-right-radius=8px; border-bottom-right-radius=8px; border-bottom-left-radius=8px; column-gap=22.4px; row-gap=5.6px; align-items=baseline
build-readout | paper dark | div.build-readout | color=rgb(195, 189, 174); background-color=rgb(23, 22, 15); border-top-color=color(srgb 0.503922 0.494118 0.456863); border-right-color=color(srgb 0.503922 0.494118 0.456863); border-bottom-color=color(srgb 0.503922 0.494118 0.456863); border-left-color=color(srgb 0.503922 0.494118 0.456863)
build-readout | slate light | div.build-readout | color=rgb(67, 73, 85); background-color=rgb(255, 255, 255); border-top-color=color(srgb 0.539216 0.545098 0.554902); border-right-color=color(srgb 0.539216 0.545098 0.554902); border-bottom-color=color(srgb 0.539216 0.545098 0.554902); border-left-color=color(srgb 0.539216 0.545098 0.554902)
build-readout | slate dark | div.build-readout | color=rgb(178, 186, 199); background-color=rgb(19, 23, 29); border-top-color=color(srgb 0.488235 0.503922 0.529412); border-right-color=color(srgb 0.488235 0.503922 0.529412); border-bottom-color=color(srgb 0.488235 0.503922 0.529412); border-left-color=color(srgb 0.488235 0.503922 0.529412)
build-readout | ink light | div.build-readout | color=rgb(58, 58, 58); background-color=rgb(255, 255, 255); border-top-color=color(srgb 0.52549 0.52549 0.52549); border-right-color=color(srgb 0.52549 0.52549 0.52549); border-bottom-color=color(srgb 0.52549 0.52549 0.52549); border-left-color=color(srgb 0.52549 0.52549 0.52549)
build-readout | ink dark | div.build-readout | color=rgb(200, 200, 200); background-color=rgb(15, 16, 17); border-top-color=color(srgb 0.509804 0.511765 0.513726); border-right-color=color(srgb 0.509804 0.511765 0.513726); border-bottom-color=color(srgb 0.509804 0.511765 0.513726); border-left-color=color(srgb 0.509804 0.511765 0.513726)
build-readout | sage light | div.build-readout | color=rgb(65, 71, 60); background-color=rgb(251, 253, 247); border-top-color=color(srgb 0.535294 0.547059 0.521569); border-right-color=color(srgb 0.535294 0.547059 0.521569); border-bottom-color=color(srgb 0.535294 0.547059 0.521569); border-left-color=color(srgb 0.535294 0.547059 0.521569)
build-readout | sage dark | div.build-readout | color=rgb(180, 189, 167); background-color=rgb(18, 23, 18); border-top-color=color(srgb 0.482353 0.503922 0.460784); border-right-color=color(srgb 0.482353 0.503922 0.460784); border-bottom-color=color(srgb 0.482353 0.503922 0.460784); border-left-color=color(srgb 0.482353 0.503922 0.460784)
build-readout | harbor light | div.build-readout | color=rgb(60, 71, 79); background-color=rgb(251, 253, 254); border-top-color=color(srgb 0.52549 0.543137 0.560784); border-right-color=color(srgb 0.52549 0.543137 0.560784); border-bottom-color=color(srgb 0.52549 0.543137 0.560784); border-left-color=color(srgb 0.52549 0.543137 0.560784)
build-readout | harbor dark | div.build-readout | color=rgb(171, 184, 194); background-color=rgb(14, 22, 27); border-top-color=color(srgb 0.464706 0.498039 0.517647); border-right-color=color(srgb 0.464706 0.498039 0.517647); border-bottom-color=color(srgb 0.464706 0.498039 0.517647); border-left-color=color(srgb 0.464706 0.498039 0.517647)
build-readout | aubergine light | div.build-readout | color=rgb(70, 61, 70); background-color=rgb(253, 251, 253); border-top-color=color(srgb 0.545098 0.529412 0.545098); border-right-color=color(srgb 0.545098 0.529412 0.545098); border-bottom-color=color(srgb 0.545098 0.529412 0.545098); border-left-color=color(srgb 0.545098 0.529412 0.545098)
build-readout | aubergine dark | div.build-readout | color=rgb(191, 178, 188); background-color=rgb(22, 17, 22); border-top-color=color(srgb 0.503922 0.476471 0.501961); border-right-color=color(srgb 0.503922 0.476471 0.501961); border-bottom-color=color(srgb 0.503922 0.476471 0.501961); border-left-color=color(srgb 0.503922 0.476471 0.501961)
build-readout | press light | div.build-readout | color=rgb(74, 68, 60); background-color=rgb(248, 245, 240); border-top-color=color(srgb 0.541176 0.531373 0.515686); border-right-color=color(srgb 0.541176 0.531373 0.515686); border-bottom-color=color(srgb 0.541176 0.531373 0.515686); border-left-color=color(srgb 0.541176 0.531373 0.515686)
build-readout | press dark | div.build-readout | color=rgb(194, 183, 163); background-color=rgb(29, 25, 18); border-top-color=color(srgb 0.521569 0.496078 0.44902); border-right-color=color(srgb 0.521569 0.496078 0.44902); border-bottom-color=color(srgb 0.521569 0.496078 0.44902); border-left-color=color(srgb 0.521569 0.496078 0.44902)
callout | paper light | div.callout.card.key | color=rgb(26, 26, 24); background-color=color(srgb 0.915098 0.892941 0.832549); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=rgb(122, 90, 10); box-shadow=rgba(38, 34, 24, 0.06) 0px 1px 2px 0px, rgba(38, 34, 24, 0.07) 0px 6px 20px 0px; font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; margin-top=26px; margin-bottom=26px; padding-top=16.8px; padding-right=20.8px; padding-bottom=16.8px; padding-left=20.8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=4px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=12px; border-top-right-radius=12px; border-bottom-right-radius=12px; border-bottom-left-radius=12px
callout | paper dark | div.callout.card.key | color=rgb(234, 230, 218); background-color=color(srgb 0.206078 0.175686 0.0841176); border-top-color=color(srgb 0.197765 0.192314 0.162314); border-right-color=color(srgb 0.197765 0.192314 0.162314); border-bottom-color=color(srgb 0.197765 0.192314 0.162314); border-left-color=rgb(220, 174, 58); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
callout | slate light | div.callout.card.key | color=rgb(20, 23, 28); background-color=color(srgb 0.923529 0.898823 0.853529); border-top-color=color(srgb 0.880196 0.881725 0.884275); border-right-color=color(srgb 0.880196 0.881725 0.884275); border-bottom-color=color(srgb 0.880196 0.881725 0.884275); border-left-color=rgb(125, 83, 6)
callout | slate dark | div.callout.card.key | color=rgb(230, 234, 241); background-color=color(srgb 0.195098 0.183137 0.144902); border-top-color=color(srgb 0.182078 0.197765 0.221804); border-right-color=color(srgb 0.182078 0.197765 0.221804); border-bottom-color=color(srgb 0.182078 0.197765 0.221804); border-left-color=rgb(224, 181, 82); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
callout | ink light | div.callout.card.key | color=rgb(13, 13, 13); background-color=color(srgb 0.908235 0.897059 0.855882); border-top-color=color(srgb 0.876627 0.876627 0.876627); border-right-color=color(srgb 0.876627 0.876627 0.876627); border-bottom-color=color(srgb 0.876627 0.876627 0.876627); border-left-color=rgb(99, 80, 10)
callout | ink dark | div.callout.card.key | color=rgb(245, 245, 245); background-color=color(srgb 0.185294 0.168627 0.120196); border-top-color=color(srgb 0.176078 0.17949 0.182902); border-right-color=color(srgb 0.176078 0.17949 0.182902); border-bottom-color=color(srgb 0.176078 0.17949 0.182902); border-left-color=rgb(230, 196, 108); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
callout | sage light | div.callout.card.key | color=rgb(22, 26, 19); background-color=color(srgb 0.910196 0.892157 0.828627); border-top-color=color(srgb 0.867569 0.876431 0.852392); border-right-color=color(srgb 0.867569 0.876431 0.852392); border-bottom-color=color(srgb 0.867569 0.876431 0.852392); border-left-color=rgb(125, 83, 9)
callout | sage dark | div.callout.card.key | color=rgb(228, 234, 217); background-color=color(srgb 0.189412 0.183725 0.104706); border-top-color=color(srgb 0.177647 0.197765 0.172039); border-right-color=color(srgb 0.177647 0.197765 0.172039); border-bottom-color=color(srgb 0.177647 0.197765 0.172039); border-left-color=rgb(220, 182, 76); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
callout | harbor light | div.callout.card.key | color=rgb(17, 24, 32); background-color=color(srgb 0.910196 0.893922 0.850196); border-top-color=color(srgb 0.86502 0.875412 0.882902); border-right-color=color(srgb 0.86502 0.875412 0.882902); border-bottom-color=color(srgb 0.86502 0.875412 0.882902); border-left-color=rgb(125, 86, 6)
callout | harbor dark | div.callout.card.key | color=rgb(223, 232, 237); background-color=color(srgb 0.17549 0.178627 0.135882); border-top-color=color(srgb 0.161451 0.193333 0.212941); border-right-color=color(srgb 0.161451 0.193333 0.212941); border-bottom-color=color(srgb 0.161451 0.193333 0.212941); border-left-color=rgb(219, 179, 78); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
