# page: design-system/index.html
# viewport: 1280x900 at device pixel ratio 1
# base: paper light in full; every other row lists only what moved from it

axis | paper light | line.axis | color=rgb(26, 26, 24); fill=none; stroke=rgb(99, 99, 91); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=center; display=inline; min-height=0px
axis | paper dark | line.axis | color=rgb(234, 230, 218); stroke=rgb(154, 148, 134)
axis | slate light | line.axis | color=rgb(20, 23, 28); stroke=rgb(95, 103, 116)
axis | slate dark | line.axis | color=rgb(230, 234, 241); stroke=rgb(138, 146, 160)
axis | ink light | line.axis | color=rgb(13, 13, 13); stroke=rgb(88, 88, 88)
axis | ink dark | line.axis | color=rgb(245, 245, 245); stroke=rgb(154, 154, 154)
axis | sage light | line.axis | color=rgb(22, 26, 19); stroke=rgb(94, 101, 87)
axis | sage dark | line.axis | color=rgb(228, 234, 217); stroke=rgb(139, 148, 126)
axis | harbor light | line.axis | color=rgb(17, 24, 32); stroke=rgb(90, 102, 112)
axis | harbor dark | line.axis | color=rgb(223, 232, 237); stroke=rgb(131, 145, 155)
axis | aubergine light | line.axis | color=rgb(25, 19, 25); stroke=rgb(101, 92, 101)
axis | aubergine dark | line.axis | color=rgb(235, 226, 234); stroke=rgb(148, 135, 152)
axis | press light | line.axis | color=rgb(28, 26, 23); stroke=rgb(107, 97, 84)
axis | press dark | line.axis | color=rgb(237, 228, 211); stroke=rgb(151, 141, 123)
build | paper light | figure.build | color=rgb(26, 26, 24); background-color=color(srgb 0.961 0.957216 0.941804); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=color(srgb 0.876431 0.87302 0.858353); box-shadow=rgba(38, 34, 24, 0.06) 0px 1px 2px 0px, rgba(38, 34, 24, 0.07) 0px 6px 20px 0px; font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=left; display=block; min-height=0px; margin-top=32px; margin-bottom=35px; padding-top=20.8px; padding-right=20.8px; padding-bottom=20.8px; padding-left=20.8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=12px; border-top-right-radius=12px; border-bottom-right-radius=12px; border-bottom-left-radius=12px
build | paper dark | figure.build | color=rgb(234, 230, 218); background-color=color(srgb 0.119157 0.114824 0.0866863); border-top-color=color(srgb 0.197765 0.192314 0.162314); border-right-color=color(srgb 0.197765 0.192314 0.162314); border-bottom-color=color(srgb 0.197765 0.192314 0.162314); border-left-color=color(srgb 0.197765 0.192314 0.162314); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build | slate light | figure.build | color=rgb(20, 23, 28); background-color=color(srgb 0.967745 0.968157 0.968843); border-top-color=color(srgb 0.880196 0.881725 0.884275); border-right-color=color(srgb 0.880196 0.881725 0.884275); border-bottom-color=color(srgb 0.880196 0.881725 0.884275); border-left-color=color(srgb 0.880196 0.881725 0.884275)
build | slate dark | figure.build | color=rgb(230, 234, 241); background-color=color(srgb 0.103471 0.119157 0.142824); border-top-color=color(srgb 0.182078 0.197765 0.221804); border-right-color=color(srgb 0.182078 0.197765 0.221804); border-bottom-color=color(srgb 0.182078 0.197765 0.221804); border-left-color=color(srgb 0.182078 0.197765 0.221804); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build | ink light | figure.build | color=rgb(13, 13, 13); background-color=color(srgb 0.966784 0.966784 0.966784); border-top-color=color(srgb 0.876627 0.876627 0.876627); border-right-color=color(srgb 0.876627 0.876627 0.876627); border-bottom-color=color(srgb 0.876627 0.876627 0.876627); border-left-color=color(srgb 0.876627 0.876627 0.876627)
build | ink dark | figure.build | color=rgb(245, 245, 245); background-color=color(srgb 0.0903922 0.0941765 0.0979608); border-top-color=color(srgb 0.176078 0.17949 0.182902); border-right-color=color(srgb 0.176078 0.17949 0.182902); border-bottom-color=color(srgb 0.176078 0.17949 0.182902); border-left-color=color(srgb 0.176078 0.17949 0.182902); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build | sage light | figure.build | color=rgb(22, 26, 19); background-color=color(srgb 0.952882 0.961 0.937333); border-top-color=color(srgb 0.867569 0.876431 0.852392); border-right-color=color(srgb 0.867569 0.876431 0.852392); border-bottom-color=color(srgb 0.867569 0.876431 0.852392); border-left-color=color(srgb 0.867569 0.876431 0.852392)
build | sage dark | figure.build | color=rgb(228, 234, 217); background-color=color(srgb 0.0994118 0.119157 0.097902); border-top-color=color(srgb 0.177647 0.197765 0.172039); border-right-color=color(srgb 0.177647 0.197765 0.172039); border-bottom-color=color(srgb 0.177647 0.197765 0.172039); border-left-color=color(srgb 0.177647 0.197765 0.172039); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build | harbor light | figure.build | color=rgb(17, 24, 32); background-color=color(srgb 0.952196 0.960725 0.965608); border-top-color=color(srgb 0.86502 0.875412 0.882902); border-right-color=color(srgb 0.86502 0.875412 0.882902); border-bottom-color=color(srgb 0.86502 0.875412 0.882902); border-left-color=color(srgb 0.86502 0.875412 0.882902)
build | harbor dark | figure.build | color=rgb(223, 232, 237); background-color=color(srgb 0.0835883 0.115098 0.134706); border-top-color=color(srgb 0.161451 0.193333 0.212941); border-right-color=color(srgb 0.161451 0.193333 0.212941); border-bottom-color=color(srgb 0.161451 0.193333 0.212941); border-left-color=color(srgb 0.161451 0.193333 0.212941); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build | aubergine light | figure.build | color=rgb(25, 19, 25); background-color=color(srgb 0.960863 0.952471 0.960863); border-top-color=color(srgb 0.875922 0.866039 0.875922); border-right-color=color(srgb 0.875922 0.866039 0.875922); border-bottom-color=color(srgb 0.875922 0.866039 0.875922); border-left-color=color(srgb 0.875922 0.866039 0.875922)
build | aubergine dark | figure.build | color=rgb(235, 226, 234); background-color=color(srgb 0.11551 0.095353 0.115373); border-top-color=color(srgb 0.194863 0.173216 0.194353); border-right-color=color(srgb 0.194863 0.173216 0.194353); border-bottom-color=color(srgb 0.194863 0.173216 0.194353); border-left-color=color(srgb 0.194863 0.173216 0.194353); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build | press light | figure.build | color=rgb(28, 26, 23); background-color=color(srgb 0.942353 0.930725 0.911392); border-top-color=color(srgb 0.860392 0.849137 0.830549); border-right-color=color(srgb 0.860392 0.849137 0.830549); border-bottom-color=color(srgb 0.860392 0.849137 0.830549); border-left-color=color(srgb 0.860392 0.849137 0.830549)
build | press dark | figure.build | color=rgb(237, 228, 211); background-color=color(srgb 0.142275 0.125902 0.0970785); border-top-color=color(srgb 0.219765 0.201529 0.16898); border-right-color=color(srgb 0.219765 0.201529 0.16898); border-bottom-color=color(srgb 0.219765 0.201529 0.16898); border-left-color=color(srgb 0.219765 0.201529 0.16898); box-shadow=rgba(0, 0, 0, 0.34) 0px 1px 2px 0px, rgba(0, 0, 0, 0.4) 0px 6px 20px 0px
build-canvas | paper light | canvas.build-canvas | color=rgb(26, 26, 24); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=left; display=block; max-width=100%; min-height=0px; margin-right=93px; margin-left=93px; overflow-x=clip; overflow-y=clip
build-canvas | paper dark | canvas.build-canvas | color=rgb(234, 230, 218)
build-canvas | slate light | canvas.build-canvas | color=rgb(20, 23, 28)
build-canvas | slate dark | canvas.build-canvas | color=rgb(230, 234, 241)
build-canvas | ink light | canvas.build-canvas | color=rgb(13, 13, 13)
build-canvas | ink dark | canvas.build-canvas | color=rgb(245, 245, 245)
build-canvas | sage light | canvas.build-canvas | color=rgb(22, 26, 19)
build-canvas | sage dark | canvas.build-canvas | color=rgb(228, 234, 217)
build-canvas | harbor light | canvas.build-canvas | color=rgb(17, 24, 32)
build-canvas | harbor dark | canvas.build-canvas | color=rgb(223, 232, 237)
build-canvas | aubergine light | canvas.build-canvas | color=rgb(25, 19, 25)
build-canvas | aubergine dark | canvas.build-canvas | color=rgb(235, 226, 234)
build-canvas | press light | canvas.build-canvas | color=rgb(28, 26, 23)
build-canvas | press dark | canvas.build-canvas | color=rgb(237, 228, 211)
build-controls | paper light | div.build-controls | color=rgb(26, 26, 24); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=19px; font-weight=400; line-height=32.68px; text-align=left; display=flex; min-height=0px; padding-top=13.6px; padding-right=1.6px; padding-left=1.6px; column-gap=17.6px; row-gap=8px; align-items=center
build-controls | paper dark | div.build-controls | color=rgb(234, 230, 218)
build-controls | slate light | div.build-controls | color=rgb(20, 23, 28)
build-controls | slate dark | div.build-controls | color=rgb(230, 234, 241)
build-controls | ink light | div.build-controls | color=rgb(13, 13, 13)
build-controls | ink dark | div.build-controls | color=rgb(245, 245, 245)
build-controls | sage light | div.build-controls | color=rgb(22, 26, 19)
build-controls | sage dark | div.build-controls | color=rgb(228, 234, 217)
build-controls | harbor light | div.build-controls | color=rgb(17, 24, 32)
build-controls | harbor dark | div.build-controls | color=rgb(223, 232, 237)
build-controls | aubergine light | div.build-controls | color=rgb(25, 19, 25)
build-controls | aubergine dark | div.build-controls | color=rgb(235, 226, 234)
build-controls | press light | div.build-controls | color=rgb(28, 26, 23)
build-controls | press dark | div.build-controls | color=rgb(237, 228, 211)
build-readout | paper light | div.build-readout | color=rgb(74, 74, 68); background-color=rgb(253, 252, 248); border-top-color=color(srgb 0.547059 0.545098 0.533333); border-right-color=color(srgb 0.547059 0.545098 0.533333); border-bottom-color=color(srgb 0.547059 0.545098 0.533333); border-left-color=color(srgb 0.547059 0.545098 0.533333); font-family="JetBrains Mono", ui-monospace, "SF Mono", SFMono-Regular, Menlo, Consolas, "Liberation Mono", monospace; font-size=12.8px; font-weight=400; line-height=22.016px; text-align=left; display=flex; min-height=0px; margin-top=14px; padding-top=9.6px; padding-right=13.6px; padding-bottom=9.6px; padding-left=13.6px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=dashed; border-right-style=dashed; border-bottom-style=dashed; border-left-style=dashed; border-top-left-radius=8px; border-top-right-radius=8px; border-bottom-right-radius=8px; border-bottom-left-radius=8px; column-gap=22.4px; row-gap=5.6px; align-items=baseline
build-readout | paper dark | div.build-readout | color=rgb(195, 189, 174); background-color=rgb(23, 22, 15); border-top-color=color(srgb 0.503922 0.494118 0.456863); border-right-color=color(srgb 0.503922 0.494118 0.456863); border-bottom-color=color(srgb 0.503922 0.494118 0.456863); border-left-color=color(srgb 0.503922 0.494118 0.456863)
build-readout | slate light | div.build-readout | color=rgb(67, 73, 85); background-color=rgb(255, 255, 255); border-top-color=color(srgb 0.539216 0.545098 0.554902); border-right-color=color(srgb 0.539216 0.545098 0.554902); border-bottom-color=color(srgb 0.539216 0.545098 0.554902); border-left-color=color(srgb 0.539216 0.545098 0.554902)
build-readout | slate dark | div.build-readout | color=rgb(178, 186, 199); background-color=rgb(19, 23, 29); border-top-color=color(srgb 0.488235 0.503922 0.529412); border-right-color=color(srgb 0.488235 0.503922 0.529412); border-bottom-color=color(srgb 0.488235 0.503922 0.529412); border-left-color=color(srgb 0.488235 0.503922 0.529412)
build-readout | ink light | div.build-readout | color=rgb(58, 58, 58); background-color=rgb(255, 255, 255); border-top-color=color(srgb 0.52549 0.52549 0.52549); border-right-color=color(srgb 0.52549 0.52549 0.52549); border-bottom-color=color(srgb 0.52549 0.52549 0.52549); border-left-color=color(srgb 0.52549 0.52549 0.52549)
