# page: index.html
# viewport: 1280x900 at device pixel ratio 1
# base: paper light in full; every other row lists only what moved from it

cat-art | paper light | img.cat-art | color=rgb(26, 26, 24); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; max-width=100%; margin-left=3px; overflow-x=clip; overflow-y=clip
cat-art | paper dark | img.cat-art | color=rgb(234, 230, 218)
cat-art | slate light | img.cat-art | color=rgb(20, 23, 28)
cat-art | slate dark | img.cat-art | color=rgb(230, 234, 241)
cat-art | ink light | img.cat-art | color=rgb(13, 13, 13)
cat-art | ink dark | img.cat-art | color=rgb(245, 245, 245)
cat-art | sage light | img.cat-art | color=rgb(22, 26, 19)
cat-art | sage dark | img.cat-art | color=rgb(228, 234, 217)
cat-art | harbor light | img.cat-art | color=rgb(17, 24, 32)
cat-art | harbor dark | img.cat-art | color=rgb(223, 232, 237)
cat-art | aubergine light | img.cat-art | color=rgb(25, 19, 25)
cat-art | aubergine dark | img.cat-art | color=rgb(235, 226, 234)
cat-art | press light | img.cat-art | color=rgb(28, 26, 23)
cat-art | press dark | img.cat-art | color=rgb(237, 228, 211)
eyebrow | paper light | div.eyebrow | color=rgb(21, 88, 92); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.84px; font-weight=700; line-height=20.3648px; letter-spacing=1.6576px; text-transform=uppercase; display=block; min-height=0px; margin-top=30px; margin-bottom=4px
eyebrow | paper dark | div.eyebrow | color=rgb(102, 199, 205)
eyebrow | slate light | div.eyebrow | color=rgb(13, 106, 128)
eyebrow | slate dark | div.eyebrow | color=rgb(111, 220, 240)
eyebrow | ink light | div.eyebrow | color=rgb(59, 59, 64)
eyebrow | ink dark | div.eyebrow | color=rgb(210, 210, 214)
eyebrow | sage light | div.eyebrow | color=rgb(125, 83, 9)
eyebrow | sage dark | div.eyebrow | color=rgb(226, 180, 95)
eyebrow | harbor light | div.eyebrow | color=rgb(168, 56, 40)
eyebrow | harbor dark | div.eyebrow | color=rgb(243, 150, 128)
eyebrow | aubergine light | div.eyebrow | color=rgb(111, 82, 16)
eyebrow | aubergine dark | div.eyebrow | color=rgb(224, 180, 95)
eyebrow | press light | div.eyebrow | color=rgb(125, 42, 14)
eyebrow | press dark | div.eyebrow | color=rgb(240, 187, 155)
h-sub | paper light | h2.h-sub | color=rgb(26, 26, 24); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=19.2px; font-weight=700; line-height=22.272px; letter-spacing=-0.2304px; display=block
h-sub | paper dark | h2.h-sub | color=rgb(234, 230, 218)
h-sub | slate light | h2.h-sub | color=rgb(20, 23, 28)
h-sub | slate dark | h2.h-sub | color=rgb(230, 234, 241)
h-sub | ink light | h2.h-sub | color=rgb(13, 13, 13)
h-sub | ink dark | h2.h-sub | color=rgb(245, 245, 245)
h-sub | sage light | h2.h-sub | color=rgb(22, 26, 19)
